True DGP (p0),Sample Size (T),Estimator,p=1,p=2,p=3,p=4,p=5,p=6,p=7,p=8,p=9,p=10,p=11,p=12
4,240,OLS-BMA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240,OLS-Geom-BMA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240,OLS-BMA (AIC-W),0.0,0.013905636337819065,0.7213694369687484,0.2647249266934325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240,OLS-Geom-BMA (AIC-W),0.0,0.03478571808802269,0.8035363337751689,0.1616779481368085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240,Joint-BMA,0.0,0.10176678696829522,0.6282885525873687,0.18543666310789747,0.049186941771392864,0.02283643149223112,0.007058039208436724,0.0,0.0,0.0,0.0,0.005426584864378042
4,240,Geom-BMA,0.0,0.2169250922734352,0.6706307858084837,0.09935025595051195,0.013093865967569089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,300,OLS-BMA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,300,OLS-Geom-BMA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,300,OLS-BMA (AIC-W),0.0,0.0,0.5502179906850929,0.4497820093149071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,300,OLS-Geom-BMA (AIC-W),0.0,0.0,0.591269263337909,0.408730736662091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,300,Joint-BMA,0.0,0.021422120467934333,0.4559032743329659,0.22074288837900186,0.07451605679929015,0.029587786871912075,0.010501693254761104,0.015202417447326044,0.012459103171164516,0.03231069615818526,0.05607557308004527,0.07127839003741347
4,300,Geom-BMA,0.0,0.10374194920395133,0.6380841446540697,0.21828258044660906,0.03380035720601486,0.006090968489355118,0.0,0.0,0.0,0.0,0.0,0.0
4,360,OLS-BMA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,360,OLS-Geom-BMA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,360,OLS-BMA (AIC-W),0.0,0.4609462120631453,0.5390537879368548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,360,OLS-Geom-BMA (AIC-W),0.0,0.4796795140838286,0.5203204859161714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,360,Joint-BMA,0.0,0.38714329612167675,0.4647789989666612,0.09379241169325074,0.026997407072520567,0.008569847172392406,0.012556826939100957,0.0,0.0,0.0,0.0,0.006161212034397456
4,360,Geom-BMA,0.0,0.4483293439293828,0.49608854249965384,0.0500223204364711,0.005559793134492219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,480,OLS-BMA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,480,OLS-Geom-BMA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,480,OLS-BMA (AIC-W),0.0,0.0,0.3513102362308195,0.6395254784394013,0.009164285329779196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,480,OLS-Geom-BMA (AIC-W),0.0,0.0,0.5150676238003967,0.4849323761996032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,480,Joint-BMA,0.0,0.0,0.28976866350093405,0.4639128657046868,0.20388966283727356,0.0365842850961533,0.005844522860952463,0.0,0.0,0.0,0.0,0.0
4,480,Geom-BMA,0.0,0.0,0.5085450402523867,0.4010725859764306,0.09038237377118273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,600,OLS-BMA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,600,OLS-Geom-BMA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,600,OLS-BMA (AIC-W),0.0,0.0,0.34506082020844464,0.6236943145480037,0.031244865243551547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,600,OLS-Geom-BMA (AIC-W),0.0,0.0,0.41626038231248635,0.5760541160164582,0.007685501671055412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,600,Joint-BMA,0.0,0.0,0.4046316985746252,0.4987759056830242,0.0898033295056203,0.006789066236730267,0.0,0.0,0.0,0.0,0.0,0.0
4,600,Geom-BMA,0.0,0.0,0.48244821738585447,0.48131563622293777,0.036236146391207855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,240,OLS-BMA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,240,OLS-Geom-BMA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,240,OLS-BMA (AIC-W),0.0,0.0,0.0,0.04392682893970536,0.37208062083353816,0.5839925502267564,0.0,0.0,0.0,0.0,0.0,0.0
6,240,OLS-Geom-BMA (AIC-W),0.0,0.0,0.0,0.09808222630237771,0.4203893892923196,0.4815283844053027,0.0,0.0,0.0,0.0,0.0,0.0
6,240,Joint-BMA,0.0,0.026577933620284277,0.0,0.023039363674096716,0.07358494692384857,0.32387417586126277,0.19068225060874022,0.10202647391806824,0.09776845066216573,0.08053297997634598,0.04981193566255858,0.032101489092628874
