True DGP (p0),Sample Size (T),Estimator,p=1,p=2,p=3,p=4,p=5,p=6,p=7,p=8,p=9,p=10,p=11,p=12
4,240,OLS-BMA,0.0510449625324356,0.9488791670265453,7.587044101912091e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240,OLS-Geom-BMA,0.05677552878725536,0.9431858025399199,3.86686728247703e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240,OLS-BMA (AIC-W),0.0,0.31599054549276273,0.4041313902557116,0.25715599107737264,0.01920408040734796,0.003517992766805067,0.0,0.0,0.0,0.0,0.0,0.0
4,240,OLS-Geom-BMA (AIC-W),0.0,0.37460966322371375,0.39753904490728675,0.21355450197672843,0.01352271132270516,0.0007740785695658529,0.0,0.0,0.0,0.0,0.0,0.0
4,240,Joint-BMA,0.0,0.184847120711569,0.30365363273151513,0.19844128916685622,0.10472511232659172,0.0635735036864117,0.04252205169817131,0.029491275112020036,0.022070192960144966,0.018649521340618497,0.017213939824088007,0.014812360442013386
4,240,Geom-BMA,0.0,0.33426809736574603,0.3790924861743599,0.17787575912640158,0.06314773465760704,0.02676293698684629,0.01059310948697556,0.004471375513580588,0.0018301217164805755,0.0010518056441808088,0.0006120912542098029,0.0002944820736117142
4,600,OLS-BMA,0.0,0.9832510277897079,0.01674897221029214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,600,OLS-Geom-BMA,0.0,0.9854521548892679,0.014547845110732226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,600,OLS-BMA (AIC-W),0.0,0.0032971234270160734,0.229033975032512,0.7426426129772579,0.02471221672542658,0.00018816472523633837,0.00012590711255114128,0.0,0.0,0.0,0.0,0.0
4,600,OLS-Geom-BMA (AIC-W),0.0,0.005282320650478326,0.26879067225676684,0.7084319551985917,0.017460913856462576,3.413803770054408e-05,0.0,0.0,0.0,0.0,0.0,0.0
4,600,Joint-BMA,0.0,0.030549459065903783,0.20332548646479176,0.5749111336783213,0.1350086736570655,0.03328458102807135,0.012525000904594824,0.005364625850317004,0.002560047286231451,0.0010987061346647905,0.00099414374343603,0.00037814218660225187
4,600,Geom-BMA,0.0,0.05817647373620522,0.26483627386636227,0.5705969134167085,0.08854400840255011,0.012532332260717522,0.0039152617734341776,0.0011392519087853274,0.0002391069058533048,2.0377729383546045e-05,0.0,0.0
10,240,OLS-BMA,0.04307133736081712,0.9568389806882371,8.968195094576745e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,240,OLS-Geom-BMA,0.04896579964927174,0.9509883309611693,4.586938955896866e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,240,OLS-BMA (AIC-W),0.0,0.1114054545334929,0.1325565017137563,0.039475058086888205,0.06952523069458033,0.042938499011056945,0.046161675868443795,0.2826271697902056,0.17069056714709874,0.08316046674767599,0.0138233960936674,0.0076359803131338016
10,240,OLS-Geom-BMA (AIC-W),0.0,0.18818484541074923,0.1892401746222314,0.048794079148596764,0.07771211870312794,0.042944515097930985,0.042794584277670966,0.23118571512498232,0.11733762207302155,0.050258726329968965,0.008783712400390699,0.002763906811329229
10,240,Joint-BMA,0.0,0.04227112776636592,0.05260072238065166,0.020898748139873,0.03454416044331334,0.03933556026819832,0.04775827259907611,0.09380607043489078,0.12086283746818433,0.1607456751016169,0.1937985443699957,0.19337828102783394
10,240,Geom-BMA,0.0,0.2172241593152517,0.1908882809500257,0.06036766873272226,0.08049267572229124,0.07399636313156337,0.06549381578217693,0.08931279189850509,0.07843403842722195,0.06836738039539514,0.04852810436297296,0.026894721281873608
10,600,OLS-BMA,0.0,0.9751597732611579,0.02484022673884224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,600,OLS-Geom-BMA,0.0,0.9786108361403374,0.0213891638596626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,600,OLS-BMA (AIC-W),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20921276133398617,0.43756067138252425,0.3388673571637139,0.014076959213721221,0.00028225090605444697
10,600,OLS-Geom-BMA (AIC-W),0.0,0.0,0.0,0.0,0.0,0.0,6.28554093481183e-05,0.2538096203733409,0.4453287602040826,0.2920531767661173,0.008684573303107544,6.101394400357646e-05
10,600,Joint-BMA,0.0,0.0,0.0,0.0,0.00020659972578010091,0.0002028797913095119,0.0007208584260050306,0.044115355208736655,0.25232083165362623,0.3784473022620364,0.21665385530887574,0.10733231762363035
10,600,Geom-BMA,0.0,0.0,2.8654015104427282e-05,0.0,0.001035910489019609,0.001659523599464631,0.003283865694409183,0.09840343944552675,0.34934393025852806,0.37054378419315853,0.13549193737092866,0.04020895493386004
