True DGP (p0),Sample Size (T),Estimator,p=1,p=2,p=3,p=4,p=5,p=6,p=7,p=8,p=9,p=10,p=11,p=12
4,96,Hybrid-BMA (OLS W),0.19959547025220267,0.187108729278615,0.1453398752216028,0.11311059931986717,0.08631644446017235,0.06626191322578397,0.051841386961371916,0.04143408207704961,0.03350654613880521,0.02814759478304875,0.02449446322767195,0.022842895053808664
4,96,SOTA-BMA (MDD W),0.33418486622304205,0.10537951556479555,0.09197998466452414,0.07993890209404694,0.0727711891747624,0.06353739468646624,0.057267749549972005,0.04838091469454349,0.04382301867435936,0.03906136328240639,0.034920578971983356,0.028754522419098146
4,144,Hybrid-BMA (OLS W),0.16903570284626532,0.16891337175787893,0.14040452926638783,0.11584864080308742,0.09359414004074809,0.07576419200250091,0.06114224974803037,0.04973904167525248,0.040713183879542696,0.0335734741459398,0.02786468038842401,0.023406793445942094
4,144,SOTA-BMA (MDD W),0.2445426197994526,0.09075692917681966,0.09112238253801402,0.08769079988986209,0.08367393527334349,0.07895317189806204,0.06924193729506652,0.06103286972587478,0.054173535817930475,0.05184520833635162,0.04817347365626832,0.038793136592954344
4,240,Hybrid-BMA (OLS W),0.13080562321837028,0.14165545815874633,0.12700215975564452,0.1121379872721495,0.096547151637879,0.08317694534866733,0.07174906966338658,0.06197546591818277,0.05362049514746059,0.04643258167581825,0.040016399523185614,0.03488066268050921
4,240,SOTA-BMA (MDD W),0.03618878894362039,0.020823128998491716,0.05862544102764928,0.09879786632384015,0.11977220458682844,0.11496104759313186,0.11122180159124893,0.09650039859617814,0.09049790961442081,0.09101859675858943,0.08558558573936244,0.07600723022663847
4,480,Hybrid-BMA (OLS W),0.10041108605466359,0.11567314133914815,0.11018524058177653,0.10316899503597293,0.09466120568807193,0.086717096476461,0.07956166558745015,0.07301808595491104,0.06696990718071945,0.06146012908751824,0.056375403880254894,0.051798043133052064
4,480,SOTA-BMA (MDD W),0.0,0.001967192579613613,0.14888457692128212,0.2358849475905815,0.1710256061176142,0.11906333856481954,0.08673092986694553,0.06282108333636872,0.05025339944177223,0.04120108213514138,0.04402676250640006,0.03814108093946111
6,96,Hybrid-BMA (OLS W),0.19510779462573788,0.18123968095621953,0.1430325312942891,0.11027851558041032,0.0877879249376974,0.06891112846345855,0.05370184102379381,0.04304616008832303,0.03556712949475733,0.029894772978017604,0.026429130356958472,0.02500339020033706
6,96,SOTA-BMA (MDD W),0.3459382851241155,0.11028594569358459,0.09459897162378952,0.08106287177866832,0.07140893459020338,0.06291999877367212,0.055926926698511695,0.04528859086085344,0.040489266093299545,0.0355160139872944,0.03134636898163602,0.025217825794371533
6,144,Hybrid-BMA (OLS W),0.1639224195233274,0.1662273257596519,0.13852412608286518,0.11339592623949091,0.09529746516457989,0.07833637869438431,0.06349756525455721,0.05176296890532641,0.042149198981422185,0.034531872997751185,0.02849662833838384,0.023858124058259596
6,144,SOTA-BMA (MDD W),0.2300267308666014,0.08129412902895736,0.08592738127333405,0.08667504575664385,0.08417618043104161,0.0799472769091222,0.07455457426252642,0.06647418968729117,0.0632959526614769,0.05568485829902877,0.05118564424097172,0.04075803658300466
6,240,Hybrid-BMA (OLS W),0.12750651562585866,0.1380231380009948,0.12361376007095981,0.10863534022196157,0.09736757064510139,0.08595242284406433,0.07421585347141438,0.06409563099122206,0.05541440509413272,0.047861613300194804,0.04145684501252116,0.035856904721574316
6,240,SOTA-BMA (MDD W),0.05477567790482106,0.024033984541103774,0.04872701124632061,0.06959454829530162,0.09232900544578283,0.09724343108592175,0.10601151293752402,0.10292061204807869,0.10566353390218274,0.11150569232713106,0.10125167516352601,0.08594331510230585
6,480,Hybrid-BMA (OLS W),0.09611486612667626,0.11157085747920054,0.10666583618610521,0.09986031384272108,0.09529411707155364,0.0894663942489545,0.08204840162699888,0.07519913003173002,0.06898436674420229,0.06332391620521481,0.05808187639294908,0.053389924043693665
6,480,SOTA-BMA (MDD W),0.0,0.0001298768061502413,0.011142535104944378,0.014142516652889766,0.06472896006532858,0.18798718683387766,0.19359700092353413,0.16804482450667851,0.12221349835577325,0.09737870284164905,0.07378985548728853,0.06684504242188594
8,96,Hybrid-BMA (OLS W),0.19345462065973848,0.18000200991893162,0.13985118409455746,0.1079594750851082,0.08531422160955782,0.06836073696408088,0.054572605789095674,0.04581600258422992,0.03788208687793759,0.032140585167532244,0.028094077554855344,0.026552393694374784
8,96,SOTA-BMA (MDD W),0.3616459580492122,0.10803771832153707,0.0927167361566359,0.08018467676365855,0.06867079550528667,0.06198438117310407,0.05323979401543812,0.045764735842048446,0.03881971920060269,0.034229460515719394,0.03020241697355324,0.024503607483203616
8,144,Hybrid-BMA (OLS W),0.16078277175146882,0.16279787731619172,0.1349703534154294,0.1108138302551598,0.09288310155966807,0.07670171100644223,0.06473479092221243,0.05577671978406262,0.04583778148012024,0.03762550533780728,0.031121810328980412,0.02595374684245693
8,144,SOTA-BMA (MDD W),0.23402825084412085,0.08107361985510536,0.08223968311473943,0.08310156861447517,0.07813835783086973,0.07708937570608636,0.07264520960102,0.06472039176185544,0.0629021331226454,0.06266836605106482,0.05491433265225716,0.04647871084576027
8,240,Hybrid-BMA (OLS W),0.12412370247397243,0.13471498926436154,0.1205129346498273,0.10600138507124549,0.09499269192510494,0.08401230153041923,0.07526800431634126,0.06804190779351962,0.05895245508211656,0.05093417562968287,0.044098232806954255,0.03834721945645448
8,240,SOTA-BMA (MDD W),0.051405250268125605,0.026039328391452177,0.04863939286097033,0.06185130969825867,0.07467172153706998,0.08171282153707932,0.08337474592738844,0.09752521765881124,0.1127519625154856,0.11384808732196461,0.13138545380078906,0.11679470848260498
