True DGP (p0),Sample Size (T),Estimator,p=1,p=2,p=3,p=4,p=5,p=6,p=7,p=8,p=9,p=10,p=11,p=12
4,96,Hybrid-BMA (OLS W),0.19677683899519782,0.18526971293988553,0.1457766009747903,0.11786725119231464,0.08937953022522385,0.06629406767572077,0.05223549549387776,0.04054114229459986,0.031573924042103726,0.026098810086812106,0.024765198404954777,0.023421427674518873
4,144,Hybrid-BMA (OLS W),0.16623952374554024,0.17037155908536564,0.1408326219328316,0.11439171371604544,0.09372434927006604,0.07639729530333801,0.06203102967668208,0.05005553464829996,0.041211156585901416,0.03370516653286672,0.028109399482937503,0.022930650020125357
4,240,Hybrid-BMA (OLS W),0.12818667105445863,0.1414641207257022,0.12737113470997372,0.11259319629685068,0.09724877058174673,0.08363953661593523,0.07199455533131997,0.06232458342935955,0.053815063781174025,0.04655804041173654,0.03996911394002188,0.034835213121720845
4,480,Hybrid-BMA (OLS W),0.1003652241471753,0.1150865536647275,0.1099815196229145,0.10306492359542044,0.09449245447173081,0.08659709907033422,0.07965798416205548,0.07333601967984939,0.06722833636648375,0.06171001872870006,0.05657756758529479,0.05190229890531375
6,96,Hybrid-BMA (OLS W),0.19064592463330834,0.18529577172114836,0.14274030155356993,0.11118145676955835,0.09028894389697509,0.07059814173725007,0.05420780375501931,0.04235296320836444,0.034311064909040255,0.028960705789494064,0.025509022172169788,0.02390789985410204
6,144,Hybrid-BMA (OLS W),0.1643119308472582,0.16749345016189054,0.13695237598546442,0.11109844965766032,0.09381413445890538,0.07701452534681016,0.06409117602526815,0.051726237293059064,0.04314449812920658,0.03577729162516495,0.029745827878072083,0.024830102591240154
6,240,Hybrid-BMA (OLS W),0.12736660872906722,0.13719403372239308,0.12217103358800711,0.10957845073892045,0.09768406885573673,0.08590584166691376,0.0745601718024492,0.06402934600517592,0.05562330189554667,0.04810709735241461,0.04167661102705855,0.036103434616316654
6,480,Hybrid-BMA (OLS W),0.09568498831916084,0.11139948053880426,0.10635487912931876,0.09969541180294002,0.0951603894188796,0.08958897845684713,0.08219003804272229,0.0753577813693871,0.06916438199074712,0.0635908534210367,0.05820011841225133,0.053612699097904906
8,96,Hybrid-BMA (OLS W),0.1851673953680047,0.17996637060848128,0.1358454850840702,0.10936906044683817,0.08955210562762261,0.07066614274608093,0.05637846091334322,0.04613897249912142,0.03721338172690244,0.031810296162062504,0.029723955506305917,0.028168373311166645
8,144,Hybrid-BMA (OLS W),0.16037272752267534,0.1580516136446469,0.13184139295301406,0.10883121900234613,0.09178399964466345,0.07609043541534806,0.06500848755473279,0.058728095504649004,0.04891510223673283,0.040022609559466855,0.03300502331387278,0.02734929364785177
8,240,Hybrid-BMA (OLS W),0.12457897488073429,0.13492835892105884,0.12057888364951266,0.10658391178725743,0.09495663998831454,0.08372181135028366,0.0743480385439971,0.06786317810822463,0.05870329009952219,0.05079885265861071,0.044468497945217664,0.03846956206726627
8,480,Hybrid-BMA (OLS W),0.09457338547059568,0.10931509606142967,0.10338647957853038,0.09696804720038052,0.09222154027034171,0.08681323773253354,0.08171433673719138,0.07910984665487038,0.07250718897218603,0.06641300783944802,0.06104246842008585,0.05593536506240686
10,96,Hybrid-BMA (OLS W),0.19066663616368024,0.17396385080915358,0.14100000318688335,0.11106331027200853,0.08799641533294261,0.06998142810012711,0.05567942170584948,0.047267691200439665,0.03868302676682893,0.03162278613752735,0.026911109926091213,0.025164320398467867
10,144,Hybrid-BMA (OLS W),0.1634838699649286,0.16147287928492832,0.1354387212790154,0.11155432892109776,0.09254756526259947,0.07663473889096699,0.06460627550942824,0.055372489434366026,0.045452734856817084,0.03701579801783607,0.030848027757149853,0.02557257082086616
10,240,Hybrid-BMA (OLS W),0.12346203025496989,0.13595201704314447,0.12111870577237324,0.1063921482073175,0.09426866063721326,0.08241672611245297,0.07323581217913172,0.06721768909967692,0.05970106422770647,0.05207138233329854,0.045100089716673744,0.03906367441604121
10,480,Hybrid-BMA (OLS W),0.09334990607929985,0.10813122747614512,0.10300261379099347,0.09649677923465301,0.0916438526440019,0.08642497120843409,0.08175897829839866,0.0781860440888446,0.07314979331494895,0.06820136302917891,0.06232696019873567,0.057327510636365764
