p0,T,Iter,p,Estimator,Expected_Tau
6,240,1,7,Joint-BMA,0.2
6,240,1,7,Geom-BMA,0.2
6,240,1,8,Joint-BMA,0.20000000000000004
6,240,1,8,Geom-BMA,0.2
6,240,1,9,Joint-BMA,0.2
6,240,1,10,Joint-BMA,0.2
6,240,1,11,Joint-BMA,0.2
6,240,1,12,Joint-BMA,0.20000000000000004
6,300,0,2,Geom-BMA,0.2
6,300,0,3,Joint-BMA,0.2
6,300,0,3,Geom-BMA,0.2
6,300,0,4,Joint-BMA,0.2
6,300,0,4,Geom-BMA,0.2
6,300,0,5,Joint-BMA,0.20000000000000004
6,300,0,5,Geom-BMA,0.2
6,300,0,6,Joint-BMA,0.20000000000000004
6,300,0,6,Geom-BMA,0.2
6,300,0,7,Joint-BMA,0.2
6,300,0,7,Geom-BMA,0.2
6,300,0,8,Joint-BMA,0.2
6,300,0,8,Geom-BMA,0.2
6,300,0,9,Joint-BMA,0.2
6,300,0,10,Joint-BMA,0.2
6,300,0,11,Joint-BMA,0.2
6,300,0,12,Joint-BMA,0.2
6,300,0,12,Geom-BMA,0.19999999999999998
6,300,1,3,Geom-BMA,0.2
6,300,1,4,Joint-BMA,0.2
6,300,1,4,Geom-BMA,0.2
6,300,1,5,Joint-BMA,0.21332977309177986
6,300,1,5,Geom-BMA,0.21332977309177983
6,300,1,6,Joint-BMA,0.2
6,300,1,6,Geom-BMA,0.2
6,300,1,7,Joint-BMA,0.2
6,300,1,7,Geom-BMA,0.2
6,300,1,8,Joint-BMA,0.2
6,300,1,8,Geom-BMA,0.2
6,300,1,9,Joint-BMA,0.2
6,300,1,10,Joint-BMA,0.2
6,300,1,11,Joint-BMA,0.2
6,300,1,12,Joint-BMA,0.2
6,360,0,6,Geom-BMA,0.2
6,360,0,7,Joint-BMA,0.2
6,360,0,7,Geom-BMA,0.2
6,360,0,8,Joint-BMA,0.2
6,360,0,8,Geom-BMA,0.2
6,360,0,9,Joint-BMA,0.2
6,360,0,9,Geom-BMA,0.2
6,360,0,10,Joint-BMA,0.2
6,360,0,10,Geom-BMA,0.2
6,360,0,11,Joint-BMA,0.2
6,360,0,11,Geom-BMA,0.2
6,360,0,12,Joint-BMA,0.2
6,360,0,12,Geom-BMA,0.2
6,360,1,3,Geom-BMA,0.2
6,360,1,4,Geom-BMA,0.2
6,360,1,5,Joint-BMA,0.2
6,360,1,5,Geom-BMA,0.2
6,360,1,6,Joint-BMA,0.19999999999999998
6,360,1,6,Geom-BMA,0.2
6,360,1,7,Joint-BMA,0.2
6,360,1,7,Geom-BMA,0.2
6,360,1,8,Joint-BMA,0.2
6,360,1,8,Geom-BMA,0.2
6,360,1,9,Joint-BMA,0.2
6,360,1,10,Joint-BMA,0.20000000000000004
6,360,1,11,Joint-BMA,0.2
6,360,1,12,Joint-BMA,0.2
6,480,0,4,Geom-BMA,0.2
6,480,0,5,Joint-BMA,0.2
6,480,0,5,Geom-BMA,0.20000000000000004
6,480,0,6,Joint-BMA,0.2
6,480,0,6,Geom-BMA,0.20000000000000004
6,480,0,7,Joint-BMA,0.2
6,480,0,7,Geom-BMA,0.2
6,480,0,8,Joint-BMA,0.2
6,480,0,8,Geom-BMA,0.2
6,480,0,9,Joint-BMA,0.2
6,480,0,9,Geom-BMA,0.2
6,480,0,10,Joint-BMA,0.2
6,480,0,11,Joint-BMA,0.2
6,480,0,12,Joint-BMA,0.2
6,480,1,6,Joint-BMA,0.3458077314887901
6,480,1,6,Geom-BMA,0.34580773148879007
6,480,1,7,Joint-BMA,0.31538316579535997
6,480,1,7,Geom-BMA,0.35
6,600,0,3,Geom-BMA,0.2
6,600,0,5,Joint-BMA,0.2
6,600,0,5,Geom-BMA,0.2
6,600,0,6,Joint-BMA,0.2
6,600,0,6,Geom-BMA,0.2
6,600,0,7,Joint-BMA,0.20000000000000004
6,600,0,7,Geom-BMA,0.19999999999999998
6,600,0,8,Joint-BMA,0.2
6,600,0,8,Geom-BMA,0.20000000000000004
6,600,0,9,Joint-BMA,0.2
6,600,1,5,Joint-BMA,0.21465392842226924
6,600,1,5,Geom-BMA,0.21465392842226924
6,600,1,6,Joint-BMA,0.21568130676906516
6,600,1,6,Geom-BMA,0.21568130676906516
6,600,1,7,Joint-BMA,0.2
6,600,1,7,Geom-BMA,0.2
8,240,0,2,Joint-BMA,0.2
8,240,0,2,Geom-BMA,0.2
8,240,0,3,Joint-BMA,0.2
8,240,0,3,Geom-BMA,0.2
8,240,0,4,Joint-BMA,0.20000000000000004
8,240,0,4,Geom-BMA,0.20000000000000004
8,240,0,5,Joint-BMA,0.2
8,240,0,5,Geom-BMA,0.2
8,240,0,6,Joint-BMA,0.2
8,240,0,6,Geom-BMA,0.2
8,240,0,7,Joint-BMA,0.2
8,240,0,7,Geom-BMA,0.19999999999999998
8,240,0,8,Joint-BMA,0.2
8,240,0,9,Joint-BMA,0.2
8,240,0,10,Joint-BMA,0.2
8,240,0,11,Joint-BMA,0.2
8,240,1,2,Geom-BMA,0.2
8,240,1,5,Geom-BMA,0.2
8,240,1,6,Joint-BMA,0.2
8,240,1,6,Geom-BMA,0.2
8,240,1,7,Joint-BMA,0.2
8,240,1,7,Geom-BMA,0.2
8,240,1,8,Joint-BMA,0.2
8,240,1,8,Geom-BMA,0.2
8,240,1,9,Joint-BMA,0.2
8,240,1,9,Geom-BMA,0.2
8,240,1,10,Joint-BMA,0.2
8,240,1,10,Geom-BMA,0.2
8,240,1,11,Joint-BMA,0.2
8,240,1,11,Geom-BMA,0.2
8,240,1,12,Joint-BMA,0.2
8,240,1,12,Geom-BMA,0.2
8,300,0,2,Joint-BMA,0.2
8,300,0,2,Geom-BMA,0.2
8,300,0,3,Joint-BMA,0.20000000000000004
8,300,0,3,Geom-BMA,0.2
8,300,0,4,Joint-BMA,0.2
8,300,0,4,Geom-BMA,0.2
8,300,0,5,Joint-BMA,0.20000000000000004
8,300,0,5,Geom-BMA,0.2
