True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Geom Mean MSE Ratio,5th Percentile,95th Percentile
4,80,AIC,0.0,12.0,5.7187,1.2881,62.3358
4,80,SIC (BIC),0.0,2.39,1.1822,0.4049,4.5684
4,80,HQC,0.1,11.63,5.2789,1.0627,54.87
4,80,BMA (BIC-Weighted),N/A,12.0,0.9706,0.4852,1.9377
4,80,BVAR (Minn.),N/A,12.0,5.6061,2.4268,13.4648
4,80,BVAR (Conj.),N/A,12.0,5.6952,2.418,13.5516
4,100,AIC,3.8,9.06,1.6937,0.6282,5.0062
4,100,SIC (BIC),0.0,1.25,1.0605,0.4496,2.5
4,100,HQC,0.3,1.86,1.0153,0.4757,2.2684
4,100,BMA (BIC-Weighted),N/A,12.0,1.0285,0.5203,2.0471
4,100,BVAR (Minn.),N/A,12.0,2.3473,0.9856,5.5093
4,100,BVAR (Conj.),N/A,12.0,2.3679,0.9721,5.6891
4,120,AIC,10.8,3.76,1.1016,0.5326,2.5891
4,120,SIC (BIC),0.0,1.39,1.0982,0.5029,2.6414
4,120,HQC,0.1,1.93,1.026,0.4912,2.2514
4,120,BMA (BIC-Weighted),N/A,12.0,1.0572,0.5255,2.1413
4,120,BVAR (Minn.),N/A,12.0,1.9379,0.856,4.5213
4,120,BVAR (Conj.),N/A,12.0,1.9915,0.8916,4.5392
4,160,AIC,14.6,2.77,1.0469,0.4905,2.3001
4,160,SIC (BIC),0.0,1.63,1.1128,0.4887,2.7959
4,160,HQC,0.1,2.03,1.0575,0.4686,2.5527
4,160,BMA (BIC-Weighted),N/A,12.0,1.0704,0.4469,2.3966
4,160,BVAR (Minn.),N/A,12.0,1.7651,0.7558,3.9995
4,160,BVAR (Conj.),N/A,12.0,1.8026,0.7531,4.3126
4,200,AIC,17.6,2.8,1.0633,0.4636,2.4157
4,200,SIC (BIC),0.0,1.84,1.1211,0.4654,2.7796
4,200,HQC,0.3,2.05,1.0906,0.4437,2.6655
4,200,BMA (BIC-Weighted),N/A,12.0,1.118,0.491,2.6073
4,200,BVAR (Minn.),N/A,12.0,1.7064,0.7182,3.946
4,200,BVAR (Conj.),N/A,12.0,1.707,0.7169,4.2902
6,80,AIC,0.0,12.0,4.0682,1.1127,29.3788
6,80,SIC (BIC),0.0,2.52,1.013,0.3316,3.4617
6,80,HQC,0.0,11.65,3.8504,0.9316,28.7587
6,80,BMA (BIC-Weighted),N/A,12.0,0.7864,0.3488,1.4782
6,80,BVAR (Minn.),N/A,12.0,4.7261,2.0527,11.0406
6,80,BVAR (Conj.),N/A,12.0,4.7683,2.1269,11.2184
6,100,AIC,1.6,9.61,1.4633,0.5452,3.8485
6,100,SIC (BIC),0.0,1.25,0.9655,0.3778,2.1944
6,100,HQC,0.0,1.87,0.9175,0.3857,2.0538
