p0,T,iter,MDD_Tau
4,240,0,0.2
4,240,1,0.2
4,240,2,0.2
4,240,3,0.2
4,240,4,0.2
4,240,5,0.2
4,240,6,0.2
4,240,7,0.2
4,240,8,0.2
4,240,9,0.2
4,240,10,0.2
4,240,11,0.2
4,240,12,0.2
4,240,13,0.2
4,240,14,0.2
4,240,15,0.2
4,240,16,0.2
4,240,17,0.2
4,240,18,0.2
4,240,19,0.2
4,240,20,0.2
4,240,21,0.2
4,240,22,0.2
4,240,23,0.2
4,240,24,0.2
4,240,25,0.2
4,240,26,0.2
4,240,27,0.2
4,240,28,0.2
4,240,29,0.2
4,240,30,0.2
4,240,31,0.2
4,240,32,0.2
4,240,33,0.2
4,240,34,0.2
4,240,35,0.2
4,240,36,0.2
4,240,37,0.2
4,240,38,0.2
4,240,39,0.2
4,240,40,0.2
4,240,41,0.2
4,240,42,0.2
4,240,43,0.2
4,240,44,0.2
4,240,45,0.2
4,240,46,0.2
4,240,47,0.2
4,240,48,0.2
4,240,49,0.2
4,300,0,0.2
4,300,1,0.2
4,300,2,0.2
4,300,3,0.2
4,300,4,0.2
4,300,5,0.2
4,300,6,0.2
4,300,7,0.2
4,300,8,0.2
4,300,9,0.2
4,300,10,0.2
4,300,11,0.2
4,300,12,0.2
4,300,13,0.2
4,300,14,0.2
4,300,15,0.2
4,300,16,0.2
4,300,17,0.2
4,300,18,0.2
4,300,19,0.2
4,300,20,0.2
4,300,21,0.2
4,300,22,0.2
4,300,23,0.2
4,300,24,0.2
4,300,25,0.2
4,300,26,0.2
4,300,27,0.2
4,300,28,0.2
4,300,29,0.2
4,300,30,0.2
4,300,31,0.2
4,300,32,0.2
4,300,33,0.2
4,300,34,0.2
4,300,35,0.2
4,300,36,0.2
4,300,37,0.2
4,300,38,0.2
4,300,39,0.2
4,300,40,0.2
4,300,41,0.2
4,300,42,0.2
4,300,43,0.2
4,300,44,0.2
4,300,45,0.2
4,300,46,0.2
4,300,47,0.2
4,300,48,0.2
4,300,49,0.2
4,360,0,0.2
4,360,1,0.2
4,360,2,0.2
4,360,3,0.2
4,360,4,0.2
4,360,5,0.2
4,360,6,0.2
4,360,7,0.2
4,360,8,0.2
4,360,9,0.2
4,360,10,0.2
4,360,11,0.2
4,360,12,0.2
4,360,13,0.2
4,360,14,0.2
4,360,15,0.2
4,360,16,0.2
4,360,17,0.2
4,360,18,0.2
4,360,19,0.2
4,360,20,0.2
4,360,21,0.2
4,360,22,0.2
4,360,23,0.2
4,360,24,0.2
4,360,25,0.2
4,360,26,0.2
4,360,27,0.2
4,360,28,0.2
4,360,29,0.2
4,360,30,0.2
4,360,31,0.2
4,360,32,0.2
4,360,33,0.2
4,360,34,0.2
4,360,35,0.2
4,360,36,0.2
4,360,37,0.2
4,360,38,0.2
4,360,39,0.2
4,360,40,0.2
4,360,41,0.2
4,360,42,0.2
4,360,43,0.2
4,360,44,0.2
4,360,45,0.2
4,360,46,0.2
4,360,47,0.2
4,360,48,0.2
4,360,49,0.2
