T,Tau,Rel_MSE
360,0.2,1.0297450300233062
360,0.4,1.1673063443117835
360,0.6,0.9944758303982877
360,0.8,1.1419174984218436
480,0.2,1.136689813475676
480,0.4,1.1091647620197054
480,0.6,1.092238969620859
480,0.8,1.0999845706780431
360,0.2,0.8959267305990142
360,0.4,0.9001284486631669
360,0.6,0.8557212502967665
360,0.8,0.9052949537330064
480,0.2,0.8530803361095173
480,0.4,0.9203009434538119
480,0.6,0.876210542301932
480,0.8,0.9444836249322675
