True DGP (p0),Sample Size (T),Estimator,p=1,p=2,p=3,p=4,p=5,p=6,p=7,p=8,p=9,p=10,p=11,p=12
4,96,Hybrid-BMA (OLS W),0.19436575746189722,0.18539880879686585,0.14358090651792577,0.11212716904476927,0.08608883000735357,0.06747560293814411,0.05299597263194537,0.04287435005685686,0.03485156728567368,0.029681816568501294,0.026078271565247932,0.02448094712481906
4,96,SOTA-BMA (MDD W),0.7375540552378443,0.1730151544534175,0.054088112455424595,0.009123182347235989,0.0016240882932716846,0.001173348478802759,0.0022368427433144917,0.0021178995646622834,0.006184511712683844,0.003277772707487511,0.0035369196080326376,0.006068112397822384
4,144,Hybrid-BMA (OLS W),0.16822370317312482,0.16722607162280925,0.139939879229824,0.11646041360230523,0.0937265547419392,0.07551718656311401,0.062045436899102475,0.05024498808813007,0.041017614738546995,0.03393167511341741,0.02809658377081846,0.023569892456868094
4,144,SOTA-BMA (MDD W),0.5555133003200702,0.4234257306398732,0.0025744150300966197,0.000839126958034825,0.0,0.00023070753129683462,0.006579940022132211,0.0045558130210647365,0.004404115843315943,0.0014343233643338235,0.0004425272697816989,0.0
4,240,Hybrid-BMA (OLS W),0.13013727064177397,0.14205924003774784,0.12726175014942068,0.11224299911504412,0.09651849450267952,0.08314838417970183,0.07186919976281371,0.06210751964981347,0.05359959272428576,0.04622375676079622,0.039966842383914035,0.03486495009200887
4,240,SOTA-BMA (MDD W),0.06662603062328495,0.923177938233367,0.0027201726829787234,0.007475858460369276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,480,Hybrid-BMA (OLS W),0.09993478665287098,0.11588659358154178,0.1103469182718328,0.10299879617709476,0.09458647749449392,0.08667890760300896,0.07959367888853877,0.0730078165160878,0.0670579007741749,0.06151207428998707,0.056494106635648966,0.05190194311471932
4,480,SOTA-BMA (MDD W),0.0,0.9488497749072559,0.04963874420488053,0.001511480887863609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,96,Hybrid-BMA (OLS W),0.1931202907176014,0.18411074609127262,0.14396068851811503,0.1099231800157992,0.0874964253357968,0.06921559123483868,0.05376754950566727,0.04265425423349934,0.03505765335157715,0.029866188377748206,0.026170315136946433,0.024657117481137907
6,96,SOTA-BMA (MDD W),0.6358202648331771,0.21745027718619078,0.030261845233493356,0.011281057800278953,0.026143308692899523,0.010726402824050647,0.00776114858096227,0.008717519842049387,0.009769857008075715,0.010509842611457414,0.011183829482086285,0.020374645905278658
6,144,Hybrid-BMA (OLS W),0.16511250743807923,0.1642754845932016,0.1368405885181731,0.112344266537343,0.09481924624468392,0.07821578865657508,0.06385440857754034,0.052102860631987206,0.0428091481357884,0.03546924151465516,0.02949168763930205,0.024664771512670942
6,144,SOTA-BMA (MDD W),0.4536186863027444,0.4992511520127571,0.016407089690203113,0.0030440291898185014,0.003656193188316951,0.0017630672387759746,0.0011366950439018306,0.004140820332180565,0.0036248838502995107,0.002901102168248154,0.0039031827620629915,0.006553098220690966
6,240,Hybrid-BMA (OLS W),0.12688277043876084,0.13874875425994104,0.1239835170117772,0.10866099620328175,0.0973123511416553,0.0862750260196035,0.07420727619799507,0.06391458138414646,0.05517555990151566,0.04764725050441163,0.0412643647834721,0.03592755215343947
6,240,SOTA-BMA (MDD W),0.029928758269457876,0.9169780767997667,0.018834769281603277,0.0,0.008204588720929072,0.02123911397740859,0.004404926321884801,0.0004097666289495271,0.0,0.0,0.0,0.0
6,480,Hybrid-BMA (OLS W),0.09658761584783758,0.11185162774540246,0.1065803797497838,0.09997970098433358,0.09543222125877351,0.08947314048149718,0.08186508652085057,0.07512998090634197,0.06882500441106078,0.06309060476108648,0.05792034628033003,0.05326429105270208
6,480,SOTA-BMA (MDD W),0.0,0.8224068413427099,0.07589032171112557,0.012682708730859575,0.05531375979233164,0.03345152518475445,0.00025484323821879347,0.0,0.0,0.0,0.0,0.0
8,96,Hybrid-BMA (OLS W),0.1890838695038386,0.17878912941482578,0.1393134415293459,0.10864249521046716,0.08778514028948299,0.06935202499733065,0.05618318264048492,0.04709423105397036,0.0379871179029615,0.03178818610354941,0.02724984530712233,0.026731336046620445
8,96,SOTA-BMA (MDD W),0.5389467199490643,0.1554132354717953,0.04809225571810665,0.026272608228455226,0.030795635221657465,0.015176337497321843,0.018554867831631027,0.03800072684004892,0.03247555713667476,0.03167030618047204,0.027007203007374227,0.03759454691739827
8,144,Hybrid-BMA (OLS W),0.1619823223977534,0.16284124403290756,0.1351120155378766,0.11126248445363261,0.09324096704354391,0.07715581408203552,0.0647694072423669,0.055655039036223694,0.04534745901081956,0.03701895835767683,0.030427699930784282,0.025186588874379127
8,144,SOTA-BMA (MDD W),0.45507890251850086,0.4539425992480014,0.023449521965286532,0.0003799486944572063,0.005613325162772366,0.007527955239832818,0.006070958789246664,0.018350166300832128,0.011708096151916161,0.011898542087050412,0.003787364222748886,0.002192619619354598
8,240,Hybrid-BMA (OLS W),0.12488158215281571,0.13488027550188875,0.12087524443351468,0.10643908753308227,0.09499410433490522,0.08337153676264605,0.07449198098152537,0.06778201012882908,0.05877365533884621,0.050958782180339786,0.044142861128871634,0.038408879522735216
8,240,SOTA-BMA (MDD W),0.07584630592786194,0.837477842291047,0.0288857524226581,0.0012971764620554247,0.027172875927984234,0.012376939527738853,0.00047053578396735865,0.013897542657542568,0.00187326760794872,0.0003901177440241458,0.00031164364717160505,0.0
8,480,Hybrid-BMA (OLS W),0.09325891299123779,0.10795895928389734,0.10282515015230657,0.09658855220204778,0.09213013483289269,0.08664977027612882,0.08243172725777892,0.079749260234357,0.07310931448217224,0.06716922898677898,0.06157204715406975,0.05655694214633215
8,480,SOTA-BMA (MDD W),0.0,0.4634416632431514,0.04134725062682998,0.0,0.026901026455442824,0.0037286748959335326,0.0016797344746231414,0.43656747047195815,0.02223118587088391,0.004102993961177071,0.0,0.0
10,96,Hybrid-BMA (OLS W),0.19014870299994746,0.17925891981248956,0.14008374115526231,0.10858284022159845,0.08545033190859887,0.06784922478901739,0.05492147800783127,0.04637815770031219,0.03843233597194744,0.032378493634068854,0.02886760510105473,0.027648168697871393
