p0,T,iter,MDD_Tau
4,240,0,0.2
4,240,1,0.2
4,240,2,0.2
4,240,3,0.2
4,240,4,0.2
4,240,5,0.2
4,240,6,0.2
4,240,7,0.2
4,240,8,0.2
4,240,9,0.2
4,240,10,0.2
4,240,11,0.2
4,240,12,0.2
4,240,13,0.2
4,240,14,0.2
4,240,15,0.2
4,240,16,0.2
4,240,17,0.2
4,240,18,0.2
4,240,19,0.2
4,240,20,0.2
4,240,21,0.2
4,240,22,0.2
4,240,23,0.2
4,240,24,0.2
4,240,25,0.2
4,240,26,0.2
4,240,27,0.2
4,240,28,0.2
4,240,29,0.2
4,240,30,0.2
4,240,31,0.2
4,240,32,0.2
4,240,33,0.2
4,240,34,0.2
4,240,35,0.2
4,240,36,0.2
4,240,37,0.2
4,240,38,0.2
4,240,39,0.2
4,240,40,0.2
4,240,41,0.2
4,240,42,0.2
4,240,43,0.2
4,240,44,0.2
4,240,45,0.2
4,240,46,0.2
4,240,47,0.2
4,240,48,0.2
4,240,49,0.2
4,240,50,0.2
4,240,51,0.2
4,240,52,0.2
4,240,53,0.2
4,240,54,0.2
4,240,55,0.2
4,240,56,0.2
4,240,57,0.2
4,240,58,0.2
4,240,59,0.2
4,240,60,0.2
4,240,61,0.2
4,240,62,0.2
4,240,63,0.2
4,240,64,0.2
4,240,65,0.2
4,240,66,0.2
4,240,67,0.2
4,240,68,0.2
4,240,69,0.2
4,240,70,0.2
4,240,71,0.2
4,240,72,0.2
4,240,73,0.2
4,240,74,0.2
4,240,75,0.2
4,240,76,0.2
4,240,77,0.2
4,240,78,0.2
4,240,79,0.2
4,240,80,0.2
4,240,81,0.2
4,240,82,0.2
4,240,83,0.2
4,240,84,0.2
4,240,85,0.2
4,240,86,0.2
4,240,87,0.2
4,240,88,0.2
4,240,89,0.2
4,240,90,0.2
4,240,91,0.2
4,240,92,0.2
4,240,93,0.2
4,240,94,0.2
4,240,95,0.2
4,240,96,0.2
4,240,97,0.2
4,240,98,0.2
4,240,99,0.2
4,300,0,0.2
4,300,1,0.2
4,300,2,0.2
4,300,3,0.2
4,300,4,0.2
4,300,5,0.2
4,300,6,0.2
4,300,7,0.2
4,300,8,0.2
4,300,9,0.2
4,300,10,0.2
4,300,11,0.2
4,300,12,0.2
4,300,13,0.2
4,300,14,0.2
4,300,15,0.2
4,300,16,0.2
4,300,17,0.2
4,300,18,0.2
4,300,19,0.2
4,300,20,0.2
4,300,21,0.2
4,300,22,0.2
4,300,23,0.2
4,300,24,0.2
4,300,25,0.2
4,300,26,0.2
4,300,27,0.2
4,300,28,0.2
4,300,29,0.2
4,300,30,0.2
4,300,31,0.2
4,300,32,0.2
4,300,33,0.2
4,300,34,0.2
4,300,35,0.2
4,300,36,0.2
4,300,37,0.2
4,300,38,0.2
4,300,39,0.2
4,300,40,0.2
4,300,41,0.2
4,300,42,0.2
4,300,43,0.2
4,300,44,0.2
4,300,45,0.2
4,300,46,0.2
4,300,47,0.2
4,300,48,0.2
4,300,49,0.2
