T,Tau,Rel_MSE
96,0.01,1.4763346429488067
96,0.06137931034482759,1.1131890653970402
96,0.11275862068965517,0.8749166782317441
96,0.16413793103448276,0.9209274769567029
96,0.21551724137931036,0.8641489259484628
96,0.26689655172413795,0.8175668065750067
96,0.3182758620689655,0.887772677610135
96,0.36965517241379314,0.765862896234931
96,0.4210344827586207,0.8089340793359996
96,0.4724137931034483,0.7791579390345682
96,0.5237931034482759,0.8201778657882205
96,0.5751724137931035,0.8026274410521388
96,0.626551724137931,0.8658717217801274
96,0.6779310344827586,0.8057336107055768
96,0.7293103448275863,0.8635482200190278
96,0.7806896551724138,0.8380631816852362
96,0.8320689655172414,0.7925851074328739
96,0.883448275862069,0.7954108364392498
96,0.9348275862068965,0.7957914174025531
96,0.9862068965517242,0.8685051716853831
96,1.0375862068965518,0.7591604372780799
96,1.0889655172413792,0.8264564547815607
96,1.140344827586207,0.8119074868741298
96,1.1917241379310346,0.8452384867389634
96,1.243103448275862,0.8185020536525617
96,1.2944827586206897,0.7962021588362751
96,1.3458620689655172,0.8306347784380924
96,1.3972413793103449,0.8260149274200893
96,1.4486206896551725,0.8144871999654676
96,1.5,0.7997575310515507
480,0.01,1.9519809071240124
480,0.06137931034482759,1.2319317947261017
480,0.11275862068965517,1.1069735186614142
480,0.16413793103448276,1.0592800392855526
480,0.21551724137931036,1.0373683874766573
480,0.26689655172413795,1.0461746795870621
480,0.3182758620689655,1.028245765752587
480,0.36965517241379314,0.9729476873146733
480,0.4210344827586207,1.023609830221442
480,0.4724137931034483,1.066528856693333
480,0.5237931034482759,1.0395548677451358
480,0.5751724137931035,0.9900578377282769
480,0.626551724137931,0.9962986410550836
480,0.6779310344827586,0.9307401468090278
480,0.7293103448275863,0.9285296868902161
480,0.7806896551724138,0.9984659085567719
480,0.8320689655172414,0.9493976555489332
480,0.883448275862069,0.9551528628469702
480,0.9348275862068965,1.0690257069678446
480,0.9862068965517242,1.0396307124489261
480,1.0375862068965518,1.0914005534641695
480,1.0889655172413792,1.0048017259189586
480,1.140344827586207,0.9879058875603491
480,1.1917241379310346,1.091167970451454
480,1.243103448275862,0.934151073380675
480,1.2944827586206897,0.9777871389668963
480,1.3458620689655172,1.1200963090351153
480,1.3972413793103449,0.8932064657548974
480,1.4486206896551725,0.979520715724117
480,1.5,1.0044228257169108
