True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Fail Rate (%),Geom Mean MSE Ratio,5th Percentile,95th Percentile
4,96,AIC,20.0,10.4,N/A,0.0,1.6722004019227317,1.015595418410389,2.8812310990028576
4,96,SIC (BIC),0.0,1.2,N/A,20.0,1.951874630015654,1.432662720958681,2.3559490639021705
4,96,HQC,0.0,1.6,N/A,0.0,1.5717259922329532,0.9803366998294352,2.1781346794224974
4,96,OLS BMA (BIC-W),N/A,1.2,N/A,0.0,1.0391715288763361,0.5418869461848067,2.6512698758727455
4,96,"BVAR-WN (tau=0.05, p_max)",N/A,12.0,N/A,20.0,1.4186932845316635,0.49340763418759703,2.971675072517216
4,96,"BVAR-WN (tau=0.20, p_max)",N/A,12.0,N/A,20.0,1.0814719681442473,0.7364476879389039,1.680663106470115
4,96,"BVAR-WN (tau=0.35, p_max)",N/A,12.0,N/A,0.0,1.0654007285024267,0.3531562345943665,3.1371469451164455
4,96,"BVAR-WN (tau=0.50, p_max)",N/A,12.0,N/A,0.0,1.3624732500594439,0.7434850667705201,2.7973118901182206
4,96,"BVAR-WN (tau=0.65, p_max)",N/A,12.0,N/A,0.0,1.3811863344565958,0.5625079794616629,2.7187754292779616
4,96,"BVAR-WN (tau=0.80, p_max)",N/A,12.0,N/A,0.0,0.9402263420908421,0.6127864516173303,1.5324785305421098
4,96,"BVAR-WN (tau=0.95, p_max)",N/A,12.0,N/A,0.0,0.9883089424459969,0.5808435639577305,1.6618456461945113
4,96,"BVAR-RW (tau=0.20, p_max)",N/A,12.0,N/A,0.0,1.6042468897233164,1.1887001057874398,2.2479211521511018
4,96,"BVAR-RW (tau=0.50, p_max)",N/A,12.0,N/A,20.0,1.8812865803554994,1.0366892912491648,2.5734167481880266
4,96,"Joint (p, tau) Grid BMA",N/A,6.79,N/A,60.0,1.598380156571346,1.145846068630466,2.297514871314963
4,96,"Geom (p, tau) Grid BMA (th=0.5)",N/A,3.23,N/A,20.0,1.3521522588896313,1.1205594191153985,1.7440269041940573
4,96,"BVAR-WN (MDD tau, p_max)",N/A,12.0,0.2,20.0,1.0814719681442473,0.7364476879389039,1.680663106470115
4,144,AIC,0.0,2.4,N/A,0.0,0.9074121526527853,0.28008116035632974,2.109821441146873
4,144,SIC (BIC),0.0,1.4,N/A,0.0,0.9832855440595951,0.6132458356952655,1.9139434406894018
4,144,HQC,0.0,2.2,N/A,0.0,0.8624972944438272,0.2567278814465343,2.109821441146873
4,144,OLS BMA (BIC-W),N/A,1.45,N/A,20.0,1.6086197920147596,1.0370098180642737,2.4364146205898938
4,144,"BVAR-WN (tau=0.05, p_max)",N/A,12.0,N/A,20.0,1.5897560162844684,0.7782491389068487,3.915334272933057
4,144,"BVAR-WN (tau=0.20, p_max)",N/A,12.0,N/A,0.0,1.204414816096383,0.6914600283351803,2.2776150464625635
4,144,"BVAR-WN (tau=0.35, p_max)",N/A,12.0,N/A,0.0,0.7401266988724241,0.29604758875570725,1.8884207742454924
4,144,"BVAR-WN (tau=0.50, p_max)",N/A,12.0,N/A,0.0,0.8477812232509623,0.4438511101126781,1.4931722209640785
4,144,"BVAR-WN (tau=0.65, p_max)",N/A,12.0,N/A,0.0,0.9868290468941137,0.5045932281879557,2.5771319643106687
4,144,"BVAR-WN (tau=0.80, p_max)",N/A,12.0,N/A,0.0,1.0942772512243066,0.5644235514583642,2.2207493503975035
4,144,"BVAR-WN (tau=0.95, p_max)",N/A,12.0,N/A,0.0,1.081125562486887,0.6358217888482548,2.0557682365286154
4,144,"BVAR-RW (tau=0.20, p_max)",N/A,12.0,N/A,0.0,0.9287015863601169,0.42816024743310954,2.1523743826834725
4,144,"BVAR-RW (tau=0.50, p_max)",N/A,12.0,N/A,0.0,1.3443723631655506,0.5468064195004061,3.5529116760115818
