Tau,MDD
0.05,-6481.536286004981
0.2,-6279.479584947956
0.35,-6296.9873167322985
0.5,-6331.060751188081
0.65,-6365.437085501835
0.8,-6397.384346792642
0.95,-6426.57222480754
