True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Geom Mean MSE Ratio,5th Percentile,95th Percentile
6,96,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,1.9845,0.4942,9.8244
6,96,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.22,N/A,1.5743,0.3206,7.3539
6,96,"Hybrid-BMA (OLS W, Fix tau)",N/A,12.0,N/A,1.4564,0.3711,7.6239
6,96,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.0,0.5292,0.9205,0.1512,4.4432
6,96,"SOTA-BMA (MDD W, Opt tau)",N/A,12.0,0.5292,1.0014,0.174,5.1688
6,144,AIC,4.0,3.49,N/A,1.0135,0.1756,7.0722
6,144,AICc,0.0,1.0,N/A,1.0166,0.1054,5.4735
6,144,SIC (BIC),0.0,1.53,N/A,1.0857,0.2269,5.4735
6,144,HQC,0.0,2.05,N/A,1.0503,0.182,7.0912
6,144,OLS BMA (BIC-W),N/A,12.0,N/A,1.0035,0.1666,7.4685
6,144,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,67.452,23.9868,278.9867
6,144,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,1.7696,0.3726,8.5973
6,144,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,1.0795,0.1907,6.2446
6,144,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,1.1164,0.2371,7.058
6,144,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.53,N/A,1.261,0.2579,5.6787
6,144,"Hybrid-BMA (OLS W, Fix tau)",N/A,12.0,N/A,1.5575,0.4064,6.4643
6,144,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.0,0.4855,1.1201,0.1997,6.6156
6,144,"SOTA-BMA (MDD W, Opt tau)",N/A,12.0,0.4855,0.9839,0.1555,6.2187
6,240,AIC,23.0,3.97,N/A,1.2114,0.0934,9.7483
6,240,AICc,0.0,1.0,N/A,1.0185,0.1142,9.3663
6,240,SIC (BIC),0.0,1.98,N/A,1.0262,0.1074,14.4969
6,240,HQC,0.0,2.04,N/A,1.0,0.1074,14.4969
6,240,OLS BMA (BIC-W),N/A,12.0,N/A,1.2533,0.1451,8.3002
6,240,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,30.4028,8.6861,146.8515
6,240,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,1.5103,0.2006,15.9908
6,240,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,1.1163,0.1177,11.2623
6,240,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,1.2506,0.1609,10.3113
6,240,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.98,N/A,1.4751,0.1508,13.7289
6,240,"Hybrid-BMA (OLS W, Fix tau)",N/A,12.0,N/A,1.2651,0.1994,11.7397
