p0,T,Iter,BIC_Rel_MSE,Joint_BMA_Rel_MSE
4,240,0,6.160909374396346,4.949817032476956
4,240,1,0.7661559303519873,0.6834609486452308
4,300,0,2.1807367483413365,5.004058219230128
4,300,1,13.097991381404125,3.8059090242921667
4,360,0,0.2757418312652556,1.7771989452880963
4,360,1,7.301289643476837,7.796849437539356
4,480,0,0.3878455821749025,0.24590276420947532
4,480,1,0.18684777459188473,2.2972930014511634
4,600,0,1.0229204624008226,0.28195985126055023
4,600,1,3.4045461486482425,9.069812916537252
6,240,0,0.37349362157443533,0.41694086621571425
6,240,1,0.9740982693751878,0.8918014467059469
6,300,0,0.18526977530204006,1.2025268409765741
6,300,1,7.926481757730104,2.4159168331748395
6,360,0,5.3867231488597636,6.7720391825136135
6,360,1,2.0824989107161813,0.24504512568232636
6,480,0,7.068581493696989,1.7005255203732437
6,480,1,0.7116137295849321,3.0612776412765537
6,600,0,4.726836053168831,1.579399996275155
6,600,1,0.3847478731926345,1.1234512988301772
8,240,0,0.6253419212332655,1.9278100059515442
8,240,1,0.25470984119167317,1.326677207670193
8,300,0,0.23094826479931582,0.09797787458862597
8,300,1,0.21065332224602903,0.9391290482529506
8,360,0,5.818192862018099,7.733858265538687
8,360,1,1.4505676081421663,0.12308059934232797
8,480,0,0.8345412966343773,0.09361435022418597
8,480,1,3.1045005047611904,1.5165186423650923
8,600,0,1.2138283224210407,0.4611301162802672
8,600,1,0.4146099301667756,1.2821108848761271
10,240,0,1.9704595510232565,1.2669217557742947
10,240,1,0.5318027878853813,0.3363339180547514
10,300,0,5.517265684460076,2.6198303366884654
10,300,1,4.6104745325305965,5.073059297994768
10,360,0,2.346322354853124,3.0616663433139184
10,360,1,2.262438733212022,1.3318759218939302
10,480,0,1.1662468341901766,6.248350588414391
10,480,1,2.5864986136049977,0.642515865727555
10,600,0,0.7543937604743143,0.9990152586933979
10,600,1,0.7569007056070802,8.66932205388658
