T,Tau,Rel_MSE
96,0.01,
96,0.06137931034482759,1.5768163491940856
96,0.11275862068965517,3.8967459813385834
96,0.16413793103448276,1.1787156142023556
96,0.21551724137931036,0.8771657678720726
96,0.26689655172413795,0.937512458159236
96,0.3182758620689655,0.4931182765454875
96,0.36965517241379314,0.8238647034249948
96,0.4210344827586207,0.894179040370617
96,0.4724137931034483,0.9074592454485662
96,0.5237931034482759,1.5514591510465243
96,0.5751724137931035,1.303932851693851
96,0.626551724137931,1.5048360869390647
96,0.6779310344827586,1.0793280753124326
96,0.7293103448275863,2.241626335711295
96,0.7806896551724138,2.4103418358782425
96,0.8320689655172414,0.9285671505088077
96,0.883448275862069,0.9950824959275467
96,0.9348275862068965,0.9259628268200255
96,0.9862068965517242,1.1063851418600494
96,1.0375862068965518,0.9572887508853741
96,1.0889655172413792,0.9332818048651549
96,1.140344827586207,0.8058942076172814
96,1.1917241379310346,1.4673678780193369
96,1.243103448275862,1.1915061915028446
96,1.2944827586206897,0.894309629010178
96,1.3458620689655172,0.949882207492358
96,1.3972413793103449,1.206015659167188
96,1.4486206896551725,1.9426881514242336
96,1.5,1.0954389127293058
480,0.01,1.1157172267104063
480,0.06137931034482759,0.4854402173120203
480,0.11275862068965517,0.38581930925968755
480,0.16413793103448276,0.5987838236619877
480,0.21551724137931036,1.0004386472896842
480,0.26689655172413795,0.4601534729503877
480,0.3182758620689655,0.11161145529137206
480,0.36965517241379314,0.8799031112046396
480,0.4210344827586207,0.9188724182413985
480,0.4724137931034483,0.3814227105871859
480,0.5237931034482759,0.2036118573931713
480,0.5751724137931035,0.22968051451092525
480,0.626551724137931,0.7216809585135712
480,0.6779310344827586,0.48005349782931117
480,0.7293103448275863,0.6880849539995565
480,0.7806896551724138,0.26787216218781257
480,0.8320689655172414,0.35023621704655145
480,0.883448275862069,0.3540635860483413
480,0.9348275862068965,0.47394341174627996
480,0.9862068965517242,0.6626551930315471
480,1.0375862068965518,0.3809366517309149
480,1.0889655172413792,0.6284107879271776
480,1.140344827586207,0.553433694815638
480,1.1917241379310346,0.24110633768791803
480,1.243103448275862,0.4319404250811287
480,1.2944827586206897,0.3941924687712153
480,1.3458620689655172,0.42462206410970194
480,1.3972413793103449,0.46393566868744845
480,1.4486206896551725,0.6972793556218686
480,1.5,0.3524776550541415
