p0,T,Iter,Tau,MDD
4,240,0,0.05,-3281.7742442933586
4,240,0,0.2,-3177.468112307273
4,240,0,0.35,-3193.164245779545
4,240,0,0.5,-3218.6609195853043
4,240,0,0.65,-3244.5963461431847
4,240,0,0.8,-3269.25167639748
4,240,0,0.95,-3292.337285437048
4,240,1,0.05,-3244.350097284734
4,240,1,0.2,-3136.6240316238627
4,240,1,0.35,-3147.8795724286965
4,240,1,0.5,-3170.2553901958427
4,240,1,0.65,-3194.377019280754
4,240,1,0.8,-3217.9718919419147
4,240,1,0.95,-3240.3875340757813
4,240,2,0.05,-3251.3606193561113
4,240,2,0.2,-3144.794557536764
4,240,2,0.35,-3161.363544849255
4,240,2,0.5,-3186.6797484777608
4,240,2,0.65,-3212.2112533432532
4,240,2,0.8,-3236.4708700410038
4,240,2,0.95,-3259.2253493118887
4,240,3,0.05,-3311.0691479737843
4,240,3,0.2,-3202.660698540495
4,240,3,0.35,-3215.8731187375397
4,240,3,0.5,-3240.9968736710935
4,240,3,0.65,-3267.3092207413874
4,240,3,0.8,-3292.53118166272
4,240,3,0.95,-3316.1746325867744
4,240,4,0.05,-3302.350587687708
4,240,4,0.2,-3209.807531994131
4,240,4,0.35,-3227.071603567509
4,240,4,0.5,-3253.5025284957046
4,240,4,0.65,-3280.1817923023846
4,240,4,0.8,-3305.479724544973
4,240,4,0.95,-3329.1321237974616
4,240,5,0.05,-3316.414732856131
4,240,5,0.2,-3202.400457677128
4,240,5,0.35,-3215.4106007072414
4,240,5,0.5,-3240.793351558918
4,240,5,0.65,-3267.1539668392734
4,240,5,0.8,-3292.287140954387
4,240,5,0.95,-3315.7712240273795
4,240,6,0.05,-3241.9916388428965
4,240,6,0.2,-3131.40256816262
4,240,6,0.35,-3148.1029380590926
4,240,6,0.5,-3175.0799849420937
4,240,6,0.65,-3202.4074800860767
4,240,6,0.8,-3228.2834019287284
4,240,6,0.95,-3252.404531318968
4,240,7,0.05,-3261.1280940462357
4,240,7,0.2,-3169.1987167686284
4,240,7,0.35,-3189.0181458364877
4,240,7,0.5,-3216.828932601312
4,240,7,0.65,-3244.569470806692
4,240,7,0.8,-3270.673006333195
4,240,7,0.95,-3294.89581387039
4,240,8,0.05,-3232.6326957591727
4,240,8,0.2,-3128.4678392167643
4,240,8,0.35,-3143.7717007277342
4,240,8,0.5,-3168.9186023930697
4,240,8,0.65,-3194.7453881392703
4,240,8,0.8,-3219.511495273579
4,240,8,0.95,-3242.854373328239
4,240,9,0.05,-3319.2711366197773
4,240,9,0.2,-3210.7886312462315
4,240,9,0.35,-3225.889756784857
4,240,9,0.5,-3251.6441537736964
4,240,9,0.65,-3278.0301405675073
4,240,9,0.8,-3303.0800392604497
4,240,9,0.95,-3326.443964499749
4,240,10,0.05,-3280.1206075995733
4,240,10,0.2,-3190.0755989317777
4,240,10,0.35,-3209.706009862003
4,240,10,0.5,-3237.0369512142415
4,240,10,0.65,-3264.0898773060017
4,240,10,0.8,-3289.517906353826
4,240,10,0.95,-3313.1369453096368
4,240,11,0.05,-3258.109275155436
4,240,11,0.2,-3153.7545914774137
4,240,11,0.35,-3169.25923238652
4,240,11,0.5,-3194.3714085560996
4,240,11,0.65,-3219.8604684493976
4,240,11,0.8,-3244.0768104078115
4,240,11,0.95,-3266.7531520950524
4,240,12,0.05,-3264.625265685285
4,240,12,0.2,-3159.2644865348675
4,240,12,0.35,-3171.866957103347
4,240,12,0.5,-3196.238282355892
4,240,12,0.65,-3221.78023950192
4,240,12,0.8,-3246.3034237582106
4,240,12,0.95,-3269.322236641935
4,240,13,0.05,-3272.0973742918345
4,240,13,0.2,-3161.064056473495
4,240,13,0.35,-3177.750992017275
4,240,13,0.5,-3204.803658284768
4,240,13,0.65,-3232.4051405371347
4,240,13,0.8,-3258.6153003686113
4,240,13,0.95,-3283.079691357224
4,240,14,0.05,-3330.140552378808
4,240,14,0.2,-3224.936939367378
4,240,14,0.35,-3237.1142232045177
4,240,14,0.5,-3260.480587506616
4,240,14,0.65,-3285.6133570632282
4,240,14,0.8,-3310.176345707816
4,240,14,0.95,-3333.4932693598103
4,240,15,0.05,-3285.7516641037446
4,240,15,0.2,-3185.9468528484886
4,240,15,0.35,-3204.942828119212
4,240,15,0.5,-3232.2431236691395
4,240,15,0.65,-3259.1552704751957
4,240,15,0.8,-3284.372109379229
4,240,15,0.95,-3307.7790793612094
4,240,16,0.05,-3293.5194324852528
4,240,16,0.2,-3189.674639169728
4,240,16,0.35,-3205.2991794076434
4,240,16,0.5,-3231.2969295718885
4,240,16,0.65,-3257.9800239132146
4,240,16,0.8,-3283.419146764926
4,240,16,0.95,-3307.2187305977313
4,240,17,0.05,-3294.5646561270087
4,240,17,0.2,-3196.892913068875
4,240,17,0.35,-3209.152889358107
4,240,17,0.5,-3231.0907326718525
4,240,17,0.65,-3254.055756627632
4,240,17,0.8,-3276.2810449998697
4,240,17,0.95,-3297.382167644344
4,240,18,0.05,-3274.316016407805
4,240,18,0.2,-3167.952572682657
4,240,18,0.35,-3186.3117116414887
4,240,18,0.5,-3212.0795032332035
4,240,18,0.65,-3237.7450560911034
4,240,18,0.8,-3262.1038897807584
4,240,18,0.95,-3284.9636779443103
4,240,19,0.05,-3327.977957700209
4,240,19,0.2,-3213.6499942811524
4,240,19,0.35,-3228.811227692734
4,240,19,0.5,-3255.5433884263593
4,240,19,0.65,-3283.2097252098347
4,240,19,0.8,-3309.653774370663
4,240,19,0.95,-3334.43091960497
4,240,20,0.05,-3300.4445058118126
4,240,20,0.2,-3206.8023477484485
4,240,20,0.35,-3225.4081822203907
4,240,20,0.5,-3252.096619732797
4,240,20,0.65,-3278.965613618876
4,240,20,0.8,-3304.432751087891
4,240,20,0.95,-3328.2122040227487
4,240,21,0.05,-3297.286046830529
4,240,21,0.2,-3191.6286785207017
4,240,21,0.35,-3207.0254959755234
4,240,21,0.5,-3232.069525877961
4,240,21,0.65,-3257.749036930917
4,240,21,0.8,-3282.3134116470346
4,240,21,0.95,-3305.41562468616
4,240,22,0.05,-3246.341496472419
4,240,22,0.2,-3162.408985145138
4,240,22,0.35,-3183.539078676077
4,240,22,0.5,-3211.736077657621
4,240,22,0.65,-3239.480744887386
4,240,22,0.8,-3265.47403328169
4,240,22,0.95,-3289.5658929522433
4,240,23,0.05,-3284.7035234203486
4,240,23,0.2,-3177.2447404204536
4,240,23,0.35,-3193.31141579417
4,240,23,0.5,-3217.8721298269993
4,240,23,0.65,-3242.661878781982
4,240,23,0.8,-3266.294325309348
4,240,23,0.95,-3288.530942000931
4,240,24,0.05,-3255.663561916188
4,240,24,0.2,-3155.0963392193125
4,240,24,0.35,-3173.8560762102397
4,240,24,0.5,-3199.8690262616537
4,240,24,0.65,-3225.8433865887355
4,240,24,0.8,-3250.5322001246395
4,240,24,0.95,-3273.7033849404306
4,240,25,0.05,-3305.68178727581
4,240,25,0.2,-3200.5723548186843
4,240,25,0.35,-3216.175276661882
4,240,25,0.5,-3241.1208289177034
4,240,25,0.65,-3266.308401028892
4,240,25,0.8,-3290.174737252244
4,240,25,0.95,-3312.5189942862726
4,240,26,0.05,-3243.3171495138968
4,240,26,0.2,-3142.456592963015
4,240,26,0.35,-3160.3621637517617
4,240,26,0.5,-3187.2010460248994
4,240,26,0.65,-3214.294460275336
4,240,26,0.8,-3239.9795927746463
4,240,26,0.95,-3263.949447605552
4,240,27,0.05,-3243.9038949072465
4,240,27,0.2,-3154.4007461502033
4,240,27,0.35,-3174.729254913519
4,240,27,0.5,-3202.3408575021276
4,240,27,0.65,-3229.4299010129607
4,240,27,0.8,-3254.838152409725
4,240,27,0.95,-3278.4894142922185
4,240,28,0.05,-3267.652776089836
4,240,28,0.2,-3172.692802767731
4,240,28,0.35,-3190.2648477892367
4,240,28,0.5,-3216.9653481944206
4,240,28,0.65,-3244.2510539965033
4,240,28,0.8,-3270.280355019905
4,240,28,0.95,-3294.6314434915685
4,240,29,0.05,-3287.636705994465
4,240,29,0.2,-3187.359614139831
4,240,29,0.35,-3202.794960605757
4,240,29,0.5,-3228.169319523212
4,240,29,0.65,-3254.189568089668
4,240,29,0.8,-3278.9827954920984
4,240,29,0.95,-3302.1973854401667
4,240,30,0.05,-3285.769974857221
4,240,30,0.2,-3185.8156041695856
4,240,30,0.35,-3203.5352895837286
4,240,30,0.5,-3229.86298659319
4,240,30,0.65,-3256.116436724601
4,240,30,0.8,-3280.917938525704
4,240,30,0.95,-3304.1086258024034
4,240,31,0.05,-3279.8910293352465
4,240,31,0.2,-3174.755842600108
4,240,31,0.35,-3192.2342201203205
4,240,31,0.5,-3218.0338805968595
