True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Fail Rate (%),Geom Mean MSE Ratio,5th Percentile,95th Percentile
4,96,AIC,10.0,10.3,N/A,0.0,1.9213080018119244,1.1340101266832967,3.143710659908014
4,96,SIC (BIC),0.0,1.3,N/A,10.0,0.9576738608880236,0.4259616833866864,3.3476151639457665
4,96,HQC,0.0,1.8,N/A,0.0,1.2526861942279683,0.7033690791456828,3.5014033948194294
4,96,OLS BMA (BIC-W),N/A,4.11,N/A,0.0,1.233641768551961,0.511068409788185,2.457415939051833
4,96,"BVAR-WN (tau=0.05, p_max)",N/A,12.0,N/A,40.0,1.1051937480785785,0.24462492546910408,4.878617535852584
4,96,"BVAR-WN (tau=0.20, p_max)",N/A,12.0,N/A,10.0,1.0962424765529757,0.41127642476564696,3.1296763834879187
4,96,"BVAR-WN (tau=0.35, p_max)",N/A,12.0,N/A,0.0,0.9834107543179803,0.4539189233550315,2.7125518325373843
4,96,"BVAR-WN (tau=0.50, p_max)",N/A,12.0,N/A,0.0,1.2425098159331567,0.7072854366394052,2.6292293396889117
4,96,"BVAR-WN (tau=0.65, p_max)",N/A,12.0,N/A,10.0,0.9697401919320303,0.45669170886084404,2.137958956158034
4,96,"BVAR-WN (tau=0.80, p_max)",N/A,12.0,N/A,10.0,0.815113894148263,0.3867148379478955,1.5065678988373878
4,96,"BVAR-WN (tau=0.95, p_max)",N/A,12.0,N/A,0.0,0.9022202825418836,0.4370130496475575,1.8402545339644283
4,96,"BVAR-RW (tau=0.20, p_max)",N/A,12.0,N/A,0.0,1.7282315889230253,0.7201088683329946,4.09776302984208
4,96,"BVAR-RW (tau=0.50, p_max)",N/A,12.0,N/A,10.0,1.2372363384799012,0.6465735866250867,2.251953323713801
4,96,"BMA BVAR-WN (BIC-W, tau=0.20)",N/A,4.11,N/A,0.0,1.0948119999600463,0.45447100762546666,2.6441298670118996
4,96,"BMA BVAR-WN (BIC-W, tau=0.50)",N/A,4.11,N/A,0.0,1.2476710684122236,0.5096668162969015,2.6187673414077084
4,96,"BVAR-WN (MDD tau, p_max)",N/A,12.0,0.2,10.0,1.0962424765529757,0.41127642476564696,3.1296763834879187
4,144,AIC,0.0,2.6,N/A,0.0,1.3298678461813584,0.5496032586213404,2.5360569968685214
