Tau,MDD
0.01,-8094.284552966904
0.06137931034482759,-7645.903948953238
0.11275862068965517,-7329.386443631395
0.16413793103448276,-7144.348789924087
0.21551724137931036,-7029.039677342175
0.26689655172413795,-6952.334097642098
0.3182758620689655,-6898.67493066262
0.36965517241379314,-6859.723543760826
0.4210344827586207,-6830.678925312573
0.4724137931034483,-6808.599218608223
0.5237931034482759,-6791.585503847496
0.5751724137931035,-6778.358370940888
0.626551724137931,-6768.024850586941
0.6779310344827586,-6759.943208698439
0.7293103448275863,-6753.640848397884
0.7806896551724138,-6748.762460637584
0.8320689655172414,-6745.036152914837
0.883448275862069,-6742.25066740698
0.9348275862068965,-6740.23966433268
0.9862068965517242,-6738.870635953696
1.0375862068965518,-6738.0369322476445
1.0889655172413792,-6737.651924372883
1.140344827586207,-6737.644666188725
1.1917241379310346,-6737.956624335103
1.243103448275862,-6738.539182793785
1.2944827586206897,-6739.351716950142
1.3458620689655172,-6740.360091938467
1.3972413793103449,-6741.535480859805
1.4486206896551725,-6742.853426780822
1.5,-6744.293092369639
