True DGP (p0),Sample Size (T),Estimator,p=1,p=2,p=3,p=4,p=5,p=6,p=7,p=8,p=9,p=10,p=11,p=12
4,96,Hybrid-BMA (OLS W),0.18435865554331404,0.18760165295382913,0.1505130022739509,0.11880189421260401,0.09202136462434185,0.0650186864765643,0.05041910280763172,0.0399864066911568,0.0322333003402744,0.027842928542306765,0.02759836046437169,0.02360464506965434
4,96,SOTA-BMA (MDD W),0.43668681055552744,0.11391348067911711,0.08882789566839758,0.06594511230736462,0.05494972048862609,0.046020657510331145,0.040296001449992444,0.038662381120455835,0.03680712923125472,0.03214186517400394,0.02606157739972199,0.019687368415207115
4,144,Hybrid-BMA (OLS W),0.16711177369395314,0.1643815697992101,0.13761022044761703,0.11373946085288533,0.09525973343690569,0.0768245331180968,0.06320294352514133,0.05172037871035975,0.042954146109905805,0.03466120197091431,0.029006984302629997,0.02352705403238075
4,144,SOTA-BMA (MDD W),0.26994451637552863,0.08603472238911705,0.10035388547084377,0.10275892186671451,0.09235028238674395,0.07978020080356929,0.0722759161187133,0.041148294323271474,0.03738088382163994,0.032608993481737826,0.048143596882502485,0.03721978607961772
4,240,Hybrid-BMA (OLS W),0.12724462951402504,0.13969055393619123,0.12777033655081965,0.11224146802675157,0.09799801955537646,0.08480045997118096,0.07182872606570723,0.06262644254731667,0.053720456707738985,0.04708538507950895,0.04034850779763165,0.034645014247751606
4,240,SOTA-BMA (MDD W),0.0035352772650244675,0.004165160026635109,0.03688836496970173,0.08304099451329501,0.13440775082885126,0.14113358284412836,0.13542575295457215,0.11202958509417893,0.09674134764094902,0.09104822805624414,0.08997741921564793,0.07160653659077194
4,480,Hybrid-BMA (OLS W),0.10221280962177312,0.11603462865191164,0.1104051407157704,0.10303535147685645,0.09427059785523213,0.08636632930136717,0.07922528531023229,0.0730285765686909,0.06668898744890613,0.06137645130590687,0.05628138224288011,0.05107445950047274
4,480,SOTA-BMA (MDD W),0.0,0.0029787378238987842,0.09875706066134013,0.16950476309795987,0.18593424343656836,0.14270224836177828,0.10008503037976837,0.07411663192103947,0.03581743646092456,0.05804974348643537,0.07211339885036305,0.05994070551992371
6,96,Hybrid-BMA (OLS W),0.19577327121552,0.1870767673129333,0.14271325736814433,0.10694102888760715,0.08559950475944253,0.06979256209857504,0.05326707162010193,0.043298835037509545,0.032267498538295976,0.026615936535295807,0.027523960316693317,0.02913030630988112
6,96,SOTA-BMA (MDD W),0.4488569344849126,0.11794949995031687,0.08880151884653498,0.06641973715783664,0.0571393518858179,0.043412762019834024,0.04356394501483898,0.03653831779350059,0.02709570675161526,0.026083485385773812,0.023744986340905327,0.020393754368112988
6,144,Hybrid-BMA (OLS W),0.16352225619099797,0.16967464847724353,0.13984995417594698,0.10900911124589317,0.0947681775587309,0.07705662244168664,0.06352651635047249,0.05036749736382683,0.04305245696637143,0.035522686019961176,0.029303879000264446,0.024346194208604448
6,144,SOTA-BMA (MDD W),0.3144386677606939,0.11182999358400146,0.09726516199277463,0.08028484578953585,0.0659131456845219,0.05999698178659016,0.06012344309633039,0.050051046643718955,0.04622220850304511,0.042355377503946086,0.040425471862193516,0.03109365579264806
