p0,T,Iter,p,Estimator,Expected_Tau
4,240,0,2,Joint-BMA,0.2
4,240,0,2,Geom-BMA,0.2
4,240,0,3,Joint-BMA,0.2
4,240,0,3,Geom-BMA,0.2
4,240,0,4,Joint-BMA,0.2
4,240,0,4,Geom-BMA,0.2
4,240,0,5,Joint-BMA,0.2
4,240,0,5,Geom-BMA,0.19999999999999998
4,240,0,6,Joint-BMA,0.2
4,240,1,2,Joint-BMA,0.2158132955758651
4,240,1,2,Geom-BMA,0.2158132955758651
4,240,1,3,Joint-BMA,0.210947644349026
4,240,1,3,Geom-BMA,0.210947644349026
4,240,1,4,Joint-BMA,0.2
4,240,1,4,Geom-BMA,0.2
4,240,1,5,Joint-BMA,0.2
4,240,1,5,Geom-BMA,0.2
4,240,1,6,Joint-BMA,0.2
4,240,1,7,Joint-BMA,0.2
4,240,1,12,Joint-BMA,0.2
4,240,2,2,Joint-BMA,0.2
4,240,2,2,Geom-BMA,0.2
4,240,2,3,Joint-BMA,0.2
4,240,2,3,Geom-BMA,0.20000000000000004
4,240,2,4,Joint-BMA,0.2
4,240,2,4,Geom-BMA,0.2
4,240,2,5,Joint-BMA,0.2
4,240,2,6,Joint-BMA,0.2
4,240,2,7,Joint-BMA,0.2
4,240,2,8,Joint-BMA,0.2
4,240,2,9,Joint-BMA,0.2
4,240,2,10,Joint-BMA,0.2
4,240,2,11,Joint-BMA,0.2
4,240,2,12,Joint-BMA,0.2
4,240,3,3,Joint-BMA,0.20429271170025934
4,240,3,3,Geom-BMA,0.20429271170025934
4,240,3,4,Joint-BMA,0.2
4,240,3,4,Geom-BMA,0.2
4,240,3,5,Joint-BMA,0.20000000000000004
4,240,3,5,Geom-BMA,0.20000000000000004
4,240,3,6,Joint-BMA,0.2
4,240,3,7,Joint-BMA,0.2
4,240,4,2,Joint-BMA,0.2
4,240,4,2,Geom-BMA,0.2
4,240,4,3,Joint-BMA,0.2
4,240,4,3,Geom-BMA,0.2
4,240,4,4,Joint-BMA,0.2
4,240,4,4,Geom-BMA,0.2
4,240,4,5,Joint-BMA,0.2
4,240,4,5,Geom-BMA,0.2
4,240,4,6,Joint-BMA,0.2
4,240,5,2,Joint-BMA,0.3111545808437112
4,240,5,2,Geom-BMA,0.3111545808437113
4,240,5,3,Joint-BMA,0.21430355052057265
4,240,5,3,Geom-BMA,0.21430355052057265
4,240,5,4,Joint-BMA,0.2
4,240,5,4,Geom-BMA,0.2
4,240,5,5,Joint-BMA,0.2
4,240,5,5,Geom-BMA,0.2
4,240,5,6,Joint-BMA,0.2
4,240,6,2,Joint-BMA,0.2
4,240,6,2,Geom-BMA,0.19999999999999998
4,240,6,3,Joint-BMA,0.2
4,240,6,3,Geom-BMA,0.2
4,240,6,4,Joint-BMA,0.2
4,240,6,4,Geom-BMA,0.2
4,240,6,5,Joint-BMA,0.2
4,240,6,6,Joint-BMA,0.2
4,240,7,2,Joint-BMA,0.2
4,240,7,2,Geom-BMA,0.2
4,240,7,3,Joint-BMA,0.2
4,240,7,3,Geom-BMA,0.2
4,240,7,4,Joint-BMA,0.19999999999999998
4,240,7,4,Geom-BMA,0.2
4,240,7,5,Joint-BMA,0.2
4,240,7,5,Geom-BMA,0.2
