Tau,MDD
0.01,-7201.519075563414
0.06137931034482759,-6425.814941341014
0.11275862068965517,-6316.164746923983
0.16413793103448276,-6285.43888194192
0.21551724137931036,-6278.963713438174
0.26689655172413795,-6282.506366062962
0.3182758620689655,-6290.706919758593
0.36965517241379314,-6301.158856636817
0.4210344827586207,-6312.668209232441
0.4724137931034483,-6324.604214335899
0.5237931034482759,-6336.620216710209
0.5751724137931035,-6348.52172385781
0.626551724137931,-6360.1995020781
0.6779310344827586,-6371.593749894397
0.7293103448275863,-6382.674051619233
0.7806896551724138,-6393.427750488154
0.8320689655172414,-6403.85300345995
0.883448275862069,-6413.954532382377
0.9348275862068965,-6423.740975108274
0.9862068965517242,-6433.223211279681
1.0375862068965518,-6442.4132941216485
1.0889655172413792,-6451.3237671913885
1.140344827586207,-6459.9672283169675
1.1917241379310346,-6468.35605498877
1.243103448275862,-6476.502235830657
1.2944827586206897,-6484.4172718279115
1.3458620689655172,-6492.1121243381895
1.3972413793103449,-6499.597193364851
1.4486206896551725,-6506.882316032901
1.5,-6513.9767778154155
