True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Fail Rate (%),Geom Mean MSE Ratio,5th Percentile,95th Percentile
4,480,"SOTA-BMA (MDD W, Opt tau)",N/A,2.05,1.9731,0.0,1.1392957418692768,0.16023219385298496,6.1537100319219045
6,96,AIC,0.0,10.72,N/A,0.0,1.284227703266891,0.4786995983556092,5.771862194071587
6,96,AICc,0.0,1.0,N/A,0.0,1.0286345279807265,0.25752915272011095,5.754431661947931
6,96,SIC (BIC),0.0,1.22,N/A,0.0,1.052324158608726,0.28570970617619734,5.754431661947931
6,96,HQC,0.0,1.96,N/A,0.0,0.9968533397181216,0.2683009957652265,3.3840918743140853
6,96,OLS BMA (BIC-W),N/A,4.2,N/A,0.0,0.7714066959370453,0.19181013284152423,2.8296328481038766
6,96,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,186.4244429203451,57.71870207981149,748.3244148354108
6,96,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,4.081390200323219,1.4503756618673407,14.084290890945658
6,96,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,1.689849092794001,0.5750960282587753,6.293608014960537
6,96,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,1.7656671866294256,0.4655708799693047,8.002642242714499
6,96,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.22,N/A,0.0,1.079900638791105,0.1739813711014553,6.357246829438045
6,96,"Hybrid-BMA (OLS W, Fix tau)",N/A,4.2,N/A,0.0,1.0614791729148203,0.27340099932591205,4.7976569345848885
6,96,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.86,1.3269,0.0,0.8203469136349154,0.133938720061412,5.342749136989471
6,96,"SOTA-BMA (MDD W, Opt tau)",N/A,2.09,1.3269,0.0,1.058947335936127,0.2662537293001866,6.037839325417686
6,144,AIC,6.0,3.46,N/A,0.0,1.0639239466434662,0.24171156054878787,7.020976547055523
6,144,AICc,0.0,1.0,N/A,0.0,1.3470908111612516,0.2175779069268806,7.130633265159321
6,144,SIC (BIC),0.0,1.48,N/A,0.0,1.280947900674395,0.21042610465579323,6.959103694044611
6,144,HQC,0.0,1.98,N/A,0.0,1.0739152788236204,0.24171156054878787,7.020976547055523
6,144,OLS BMA (BIC-W),N/A,4.52,N/A,0.0,1.3858778535944445,0.23308090518638624,8.042847244679484
6,144,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,70.93700587962164,25.74970924164171,216.74711569656043
6,144,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,2.432804778664758,0.48704672012377737,16.071703411146856
6,144,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,1.3681607599439902,0.22641989766992504,6.928880302516639
6,144,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,1.560512095636118,0.261496355084983,6.378641855243938
6,144,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.48,N/A,0.0,1.4378441191987388,0.31899509183058034,9.741896914017088
6,144,"Hybrid-BMA (OLS W, Fix tau)",N/A,4.52,N/A,0.0,1.1099922988354718,0.1863060362819643,5.043897723157685
6,144,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.68,1.5176,0.0,0.8914126919860327,0.16316881252992688,4.455397182934069
6,144,"SOTA-BMA (MDD W, Opt tau)",N/A,1.77,1.5176,0.0,0.9520651438183614,0.17105267314211037,5.05257249562167
6,240,AIC,26.0,4.0,N/A,0.0,1.1630918763700746,0.19397707458584498,8.503578772568972
6,240,AICc,0.0,1.0,N/A,0.0,1.1429486144041374,0.11257799781457717,7.5347622811128065
6,240,SIC (BIC),0.0,1.96,N/A,0.0,1.1034155283153275,0.169801128069421,9.195862358339689
6,240,HQC,0.0,2.06,N/A,0.0,1.048641514510159,0.18378896518840523,9.195862358339689
6,240,OLS BMA (BIC-W),N/A,5.1,N/A,0.0,1.0363902066539352,0.10584075062597902,7.838068885520717
6,240,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,27.585794246866296,7.9011813599866025,106.92704366731785
6,240,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,1.5249534855861004,0.36151238785841233,9.624042976134676
6,240,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,1.087260070436963,0.17520146127915348,10.17267746021533
6,240,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,1.3637163940611754,0.1217805252538898,12.11561590432313
6,240,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.96,N/A,0.0,1.1378479685055445,0.17060325482081262,7.251054675828733
