True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Fail Rate (%),Geom Mean MSE Ratio,5th Percentile,95th Percentile
4,240,AIC,0.0,3.0,N/A,0.0,1.670960299324262,0.7653140370683986,5.064710695305649
4,240,SIC (BIC),0.0,2.0,N/A,0.0,2.1726060971917835,1.0358936025542054,5.8911717021941294
4,240,HQC,0.0,2.5,N/A,0.0,1.800962003424071,0.80818120252783,5.879186839034847
4,240,OLS BMA (BIC-W),N/A,2.0,N/A,0.0,1.922225976703897,1.0472898964179789,4.02439125800856
4,240,"OLS BMA (Geom-W, th=0.5)",N/A,2.0,N/A,0.0,0.367037236031687,0.23786314157054383,0.598408758553555
4,240,OLS BMA (AIC-W),N/A,3.25,N/A,0.0,0.6735400316837391,0.46220707887642176,1.021135319087903
4,240,"OLS BMA (Geom-AIC-W, th=0.5)",N/A,3.13,N/A,0.0,2.1775080227275136,1.1014606981645672,5.198413317921906
4,240,"BVAR-WN (tau=0.20, p_max)",N/A,12.0,N/A,0.0,1.664406410922707,1.1424089565826898,2.522718882404708
4,240,"BVAR-WN (tau=0.40, p_max)",N/A,12.0,N/A,0.0,1.2937565733706062,0.6871177315061954,2.826659499415868
4,240,"BVAR-WN (tau=0.60, p_max)",N/A,12.0,N/A,0.0,0.7682462833625422,0.6008565260403869,0.9976332733339168
4,240,"BVAR-WN (tau=0.80, p_max)",N/A,12.0,N/A,0.0,0.7646846881168878,0.69306246599588,0.8456792615639717
4,240,"Joint (p, tau) Grid BMA",N/A,3.35,N/A,0.0,1.2839832182977429,0.5639030036994931,4.718979452014984
4,240,"Geom (p, tau) Grid BMA (th=0.5)",N/A,2.92,N/A,0.0,0.8375325609550607,0.5872369512611326,1.2366220659748668
4,240,"BVAR-WN (MDD tau, p_max)",N/A,12.0,0.2,0.0,1.664406410922707,1.1424089565826898,2.522718882404708
4,600,AIC,50.0,3.5,N/A,0.0,1.203081510115338,1.02237025599907,1.4250348639823323
4,600,SIC (BIC),0.0,2.0,N/A,0.0,1.8661671738191623,1.1420017467131935,3.2854648643358715
4,600,HQC,0.0,3.0,N/A,0.0,1.219896578381069,1.0491115009566065,1.4264422979274658
4,600,OLS BMA (BIC-W),N/A,2.0,N/A,0.0,0.800089641060023,0.4074003806747983,1.8859689514694236
4,600,"OLS BMA (Geom-W, th=0.5)",N/A,2.0,N/A,0.0,0.8874624574619406,0.7302364142301778,1.0888692814119283
4,600,OLS BMA (AIC-W),N/A,3.69,N/A,0.0,0.6729653660346246,0.31105888805581267,3.9436675665605248
4,600,"OLS BMA (Geom-AIC-W, th=0.5)",N/A,3.59,N/A,0.0,0.86384473595559,0.5338211860351207,8.670131591438594
4,600,"BVAR-WN (tau=0.20, p_max)",N/A,12.0,N/A,0.0,2.0237275291076227,1.4154468414814187,2.9970493599833223
4,600,"BVAR-WN (tau=0.40, p_max)",N/A,12.0,N/A,0.0,1.1990071429496791,0.5349845734426677,6.179131496556556
4,600,"BVAR-WN (tau=0.60, p_max)",N/A,12.0,N/A,0.0,0.9905076637615716,0.4345940604763704,4.610147375808886
4,600,"BVAR-WN (tau=0.80, p_max)",N/A,12.0,N/A,0.0,1.546383696156417,1.3432638960901668,1.7888872595053906
4,600,"Joint (p, tau) Grid BMA",N/A,3.83,N/A,0.0,2.1270039087295083,1.552754241113392,2.991839293965237
4,600,"Geom (p, tau) Grid BMA (th=0.5)",N/A,3.62,N/A,0.0,1.7828758116398977,0.9497325792021305,3.8754004299801155
4,600,"BVAR-WN (MDD tau, p_max)",N/A,12.0,0.2,0.0,2.0237275291076227,1.4154468414814187,2.9970493599833223
10,240,AIC,0.0,2.5,N/A,0.0,0.5419490070380847,0.2401261329030153,1.8793893711221912
10,240,SIC (BIC),0.0,2.0,N/A,0.0,1.0236678575834763,0.603735626042275,1.8985267128663628
10,240,HQC,0.0,2.0,N/A,0.0,1.0236678575834763,0.603735626042275,1.8985267128663628
10,240,OLS BMA (BIC-W),N/A,2.0,N/A,0.0,0.8475038168215792,0.7604861267568085,0.9471656655580973
10,240,"OLS BMA (Geom-W, th=0.5)",N/A,2.0,N/A,0.0,0.27577583552160806,0.1636785980458038,0.5068328304186148
10,240,OLS BMA (AIC-W),N/A,3.4,N/A,0.0,1.1342515305145657,0.8850705824107259,1.4767845731866671
10,240,"OLS BMA (Geom-AIC-W, th=0.5)",N/A,2.36,N/A,0.0,0.9478682617849259,0.8968283191707813,1.0025437315506407
10,240,"BVAR-WN (tau=0.20, p_max)",N/A,12.0,N/A,0.0,0.9667047670465033,0.5429748589007994,1.9284077837162077
10,240,"BVAR-WN (tau=0.40, p_max)",N/A,12.0,N/A,0.0,0.4303194562310262,0.3488473438520497,0.5367546472313462
10,240,"BVAR-WN (tau=0.60, p_max)",N/A,12.0,N/A,0.0,0.46993015131501076,0.20596311314844087,1.7583792717729374
10,240,"BVAR-WN (tau=0.80, p_max)",N/A,12.0,N/A,0.0,1.1372380613191375,0.8280291724874391,1.6046265412397147
10,240,"Joint (p, tau) Grid BMA",N/A,6.71,N/A,0.0,0.6527700651748465,0.3828633099407285,1.2203923638883174
10,240,"Geom (p, tau) Grid BMA (th=0.5)",N/A,3.09,N/A,0.0,0.48841691851597024,0.21386693315602068,2.230208388429689
10,240,"BVAR-WN (MDD tau, p_max)",N/A,12.0,0.2,0.0,0.9667047670465033,0.5429748589007994,1.9284077837162077
10,600,AIC,50.0,9.5,N/A,0.0,0.6771770789191724,0.48564035640282815,0.9729284398106747
10,600,SIC (BIC),0.0,2.5,N/A,0.0,0.7556461934057415,0.7545191077309525,0.7567753583504421
10,600,HQC,0.0,2.5,N/A,0.0,0.7556461934057415,0.7545191077309525,0.7567753583504421
10,600,OLS BMA (BIC-W),N/A,2.5,N/A,0.0,1.3045598928635422,0.5757336370386523,4.631321585272926
10,600,"OLS BMA (Geom-W, th=0.5)",N/A,2.5,N/A,0.0,0.6719910232237032,0.3731097955784291,1.3648899757136244
10,600,OLS BMA (AIC-W),N/A,9.54,N/A,0.0,3.767543804170424,1.8512846963870808,9.539820375284995
10,600,"OLS BMA (Geom-AIC-W, th=0.5)",N/A,9.46,N/A,0.0,1.6327751916197788,0.9109797230907288,3.2911548237180295
10,600,"BVAR-WN (tau=0.20, p_max)",N/A,12.0,N/A,0.0,0.7282882807062844,0.4021481000907159,1.4921912167926386
10,600,"BVAR-WN (tau=0.40, p_max)",N/A,12.0,N/A,0.0,1.1936511540881451,1.0393089133233702,1.3773620726608593
10,600,"BVAR-WN (tau=0.60, p_max)",N/A,12.0,N/A,0.0,2.392061369191802,1.1910956715985803,5.891877574081167
10,600,"BVAR-WN (tau=0.80, p_max)",N/A,12.0,N/A,0.0,1.5163126547326002,1.0185091061860745,2.361224648413039
10,600,"Joint (p, tau) Grid BMA",N/A,10.71,N/A,0.0,1.4581572835299652,1.3138269417369073,1.6225984664973239
10,600,"Geom (p, tau) Grid BMA (th=0.5)",N/A,10.38,N/A,0.0,0.9867895843420876,0.5027047626117357,7.253882983006694
10,600,"BVAR-WN (MDD tau, p_max)",N/A,12.0,0.3,0.0,0.6905857141445284,0.39431778189144795,1.3434151710065474
