p0,T,Iter,p,Estimator,Expected_Tau
4,360,15,4,Geom-BMA,0.2
4,360,15,5,Joint-BMA,0.2
4,360,15,5,Geom-BMA,0.2
4,360,15,6,Joint-BMA,0.2
4,360,15,7,Joint-BMA,0.20000000000000004
4,360,15,8,Joint-BMA,0.2
4,360,15,9,Joint-BMA,0.19999999999999998
4,360,15,10,Joint-BMA,0.2
4,360,15,11,Joint-BMA,0.2
4,360,16,3,Joint-BMA,0.2
4,360,16,3,Geom-BMA,0.2
4,360,16,4,Joint-BMA,0.20000000000000004
4,360,16,4,Geom-BMA,0.2
4,360,16,5,Joint-BMA,0.2
4,360,16,5,Geom-BMA,0.19999999999999998
4,360,16,6,Joint-BMA,0.20000000000000004
4,360,16,6,Geom-BMA,0.2
4,360,16,7,Joint-BMA,0.2
4,360,16,7,Geom-BMA,0.2
4,360,16,8,Joint-BMA,0.20000000000000004
4,360,16,8,Geom-BMA,0.2
4,360,16,9,Joint-BMA,0.2
4,360,16,9,Geom-BMA,0.19999999999999998
4,360,16,10,Joint-BMA,0.2
4,360,16,11,Joint-BMA,0.2
4,360,16,12,Joint-BMA,0.2
4,360,17,3,Joint-BMA,0.2
4,360,17,3,Geom-BMA,0.2
4,360,17,4,Joint-BMA,0.2
4,360,17,4,Geom-BMA,0.2
4,360,17,5,Joint-BMA,0.2
4,360,17,5,Geom-BMA,0.2
4,360,17,6,Joint-BMA,0.2
4,360,17,6,Geom-BMA,0.2
4,360,17,7,Joint-BMA,0.2
4,360,17,7,Geom-BMA,0.2
4,360,17,8,Joint-BMA,0.2
4,360,17,9,Joint-BMA,0.2
4,360,17,10,Joint-BMA,0.2
4,360,17,11,Joint-BMA,0.2
4,360,18,2,Joint-BMA,0.19999999999999998
4,360,18,2,Geom-BMA,0.2
4,360,18,3,Joint-BMA,0.2
4,360,18,3,Geom-BMA,0.19999999999999998
4,360,18,4,Joint-BMA,0.2
4,360,18,4,Geom-BMA,0.2
4,360,18,5,Joint-BMA,0.2
4,360,18,6,Joint-BMA,0.2
4,360,18,7,Joint-BMA,0.2
4,360,18,8,Joint-BMA,0.2
4,360,18,9,Joint-BMA,0.2
4,360,19,2,Joint-BMA,0.2
4,360,19,2,Geom-BMA,0.19999999999999998
4,360,19,3,Joint-BMA,0.2
4,360,19,3,Geom-BMA,0.2
4,360,19,4,Joint-BMA,0.2
4,360,19,4,Geom-BMA,0.2
4,360,19,5,Joint-BMA,0.2
4,360,19,5,Geom-BMA,0.19999999999999998
4,360,19,6,Joint-BMA,0.19999999999999998
4,360,19,7,Joint-BMA,0.2
4,360,20,3,Joint-BMA,0.2
4,360,20,3,Geom-BMA,0.19999999999999998
4,360,20,4,Joint-BMA,0.2
4,360,20,4,Geom-BMA,0.2
4,360,20,5,Joint-BMA,0.20000000000000004
4,360,20,5,Geom-BMA,0.2
4,360,21,2,Joint-BMA,0.2
4,360,21,2,Geom-BMA,0.2
4,360,21,3,Joint-BMA,0.2
