True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Fail Rate (%),Geom Mean MSE Ratio,5th Percentile,95th Percentile
4,96,AIC,0.0,12.0,N/A,0.0,1.403152261816118,1.1153991145049074,1.7889955186582116
4,96,SIC (BIC),0.0,1.5,N/A,50.0,1.3124925492365418,1.3124925492365418,1.3124925492365418
4,96,HQC,0.0,2.0,N/A,0.0,1.085217303071709,0.9180574780656027,1.2917328086485975
4,96,OLS BMA (BIC-W),N/A,1.5,N/A,0.0,0.689275053448792,0.5065977923126773,0.9618121150406315
4,96,"OLS BMA (Geom-W, th=0.5)",N/A,1.5,N/A,0.0,0.7812030784331123,0.658950715872982,0.9328108240842133
4,96,"BVAR-WN (tau=0.05, p_max)",N/A,12.0,N/A,50.0,2.9792733514774605,2.9792733514774605,2.9792733514774605
4,96,"BVAR-WN (tau=0.20, p_max)",N/A,12.0,N/A,50.0,1.7665635416038477,1.7665635416038477,1.7665635416038477
4,96,"BVAR-WN (tau=0.35, p_max)",N/A,12.0,N/A,0.0,1.161137969598638,0.6498757339523894,2.3290428405018755
4,96,"BVAR-WN (tau=0.50, p_max)",N/A,12.0,N/A,0.0,0.7729735357049726,0.7278650320311412,0.8215852404674145
4,96,"BVAR-WN (tau=0.65, p_max)",N/A,12.0,N/A,0.0,1.169749259675162,0.6301005350804515,2.49539015010208
4,96,"BVAR-WN (tau=0.80, p_max)",N/A,12.0,N/A,0.0,0.7436362241671651,0.6033745466732865,0.9266611559490865
4,96,"BVAR-WN (tau=0.95, p_max)",N/A,12.0,N/A,0.0,0.8424631221690814,0.6476987481440147,1.1156168165272633
4,96,"BVAR-RW (tau=0.20, p_max)",N/A,12.0,N/A,0.0,1.734706484354207,1.5839555099117815,1.9035873785101651
4,96,"BVAR-RW (tau=0.50, p_max)",N/A,12.0,N/A,50.0,2.5664891762701836,2.5664891762701836,2.5664891762701836
4,96,"Joint (p, tau) Grid BMA",N/A,7.69,N/A,100.0,,,
4,96,"Geom (p, tau) Grid BMA (th=0.5)",N/A,4.23,N/A,50.0,1.4621469975304218,1.4621469975304218,1.4621469975304218
4,96,"BVAR-WN (MDD tau, p_max)",N/A,12.0,0.2,50.0,1.7665635416038477,1.7665635416038477,1.7665635416038477
4,144,AIC,0.0,2.5,N/A,0.0,0.8829246539233438,0.5696665338021739,1.4478270898500254
4,144,SIC (BIC),0.0,1.0,N/A,0.0,0.608389485272651,0.5950798569561377,0.622068577439005
4,144,HQC,0.0,2.0,N/A,0.0,0.7776900079837127,0.4587384589806457,1.4419887701225766
4,144,OLS BMA (BIC-W),N/A,1.14,N/A,0.0,1.4087704472119125,1.1864024898285106,1.6851102402106157
4,144,"OLS BMA (Geom-W, th=0.5)",N/A,1.08,N/A,0.0,1.1826723586208623,0.9457099256301092,1.4979178925449261
4,144,"BVAR-WN (tau=0.05, p_max)",N/A,12.0,N/A,0.0,0.8720254492126005,0.5322567873529844,1.5407404872089328
4,144,"BVAR-WN (tau=0.20, p_max)",N/A,12.0,N/A,0.0,1.0821831700410174,1.0546987436648292,1.1105572979601888
4,144,"BVAR-WN (tau=0.35, p_max)",N/A,12.0,N/A,0.0,0.7761678178865946,0.7531122081913877,0.8001011725306277
4,144,"BVAR-WN (tau=0.50, p_max)",N/A,12.0,N/A,0.0,0.7438463525498255,0.5440575490362984,1.0439349730934846
4,144,"BVAR-WN (tau=0.65, p_max)",N/A,12.0,N/A,0.0,0.8119936972937959,0.792408161524334,0.8321803813593813
4,144,"BVAR-WN (tau=0.80, p_max)",N/A,12.0,N/A,0.0,0.5791492248690362,0.4931835341421328,0.6844492479084069
4,144,"BVAR-WN (tau=0.95, p_max)",N/A,12.0,N/A,0.0,0.9685042824870258,0.9389475599513808,0.999218279792725
4,144,"BVAR-RW (tau=0.20, p_max)",N/A,12.0,N/A,0.0,0.795598050214846,0.44291596652970106,1.6092058169337777
4,144,"BVAR-RW (tau=0.50, p_max)",N/A,12.0,N/A,0.0,0.5264378825223113,0.48410742878603835,0.5734363288515305
4,144,"Joint (p, tau) Grid BMA",N/A,3.58,N/A,0.0,1.2504085832375365,1.2124495726887756,1.2898457266585173
4,144,"Geom (p, tau) Grid BMA (th=0.5)",N/A,2.5,N/A,0.0,1.2381483294087985,1.216609158875643,1.260160258177438
4,144,"BVAR-WN (MDD tau, p_max)",N/A,12.0,0.2,0.0,1.0821831700410174,1.0546987436648292,1.1105572979601888
4,240,AIC,50.0,3.5,N/A,0.0,1.5102830936633933,1.0640477511502735,2.216907271855197
4,240,SIC (BIC),0.0,2.0,N/A,0.0,1.0999851907300304,0.4839459723133702,3.988276819880253
4,240,HQC,0.0,2.0,N/A,0.0,1.0999851907300304,0.4839459723133702,3.988276819880253
