p0,T,Iter,BIC_Rel_MSE,Joint_BMA_Rel_MSE
4,240,0,0.3747245835813505,0.2164880784234707
4,240,1,1.5591353003825361,6.456569625127138
4,240,2,0.4843194342597107,0.6470381235877908
4,240,3,5.603148723260037,3.9035918190132994
4,240,4,1.266132385989198,0.40923506414262173
4,240,5,1.0527535483394566,0.16748944813179467
4,240,6,1.845184055015548,2.467717425003517
4,240,7,1.3303744818552992,0.6982449707921569
4,240,8,0.3166957746798809,0.8150135093957583
4,240,9,0.9004781073112385,0.8187036624725529
4,240,10,0.6284413932067452,0.6575675212285566
4,240,11,2.601990652736543,1.7204941740507673
4,240,12,3.4781472780307485,0.38692637624269094
4,240,13,1.8026446216443117,0.5998666004648439
4,240,14,1.1406107014390718,0.8200269536572569
4,240,15,0.4031669592422254,0.0814688711934033
4,240,16,2.1520841731824722,4.442510888954654
4,240,17,8.979048478789393,1.705568926736545
4,240,18,1.411741464210177,1.8778722638584266
4,240,19,0.31551140851724185,0.21191730410455112
4,240,20,1.0134754716213894,0.05113213052231951
4,240,21,3.8649241494248954,4.17352873947493
4,240,22,1.2369900184421723,0.12134506719436812
4,240,23,0.0961719761943691,1.3460334480937586
4,240,24,0.293249948809683,1.9043754704857359
4,240,25,0.9807359530898863,0.12483026559711621
4,240,26,,
4,240,27,0.44311376840010697,0.5874726360350995
4,240,28,,3.7371433935781253
4,240,29,0.29407347575998255,2.076593570438123
4,240,30,1.382303478237542,1.5750070993826082
4,240,31,1.5273003728175596,1.1214565436986859
4,240,32,0.14373001222354642,1.0494018361721498
4,240,33,0.8272596188235243,0.09101325376178503
4,240,34,0.3412977121431816,0.15452406765372914
4,240,35,1.2336718602534147,0.15086948612611714
4,240,36,1.3006622983742382,0.07102860208207533
4,240,37,1.5270986853360249,6.740378216026576
4,240,38,4.09059690872282,3.6350316897895194
4,240,39,1.3502710085471652,1.250134517432001
4,240,40,1.345758014074302,1.25816666729936
4,240,41,0.9017723377505149,5.404882333499532
4,240,42,0.8442905545829545,0.21809515968485732
4,240,43,0.8280674980397595,2.04842181604
4,240,44,0.32729074924767676,0.8714735588108542
4,240,45,1.3398895685042373,0.2581634978829937
4,240,46,0.980944226963544,0.86527176504661
4,240,47,2.469168576788414,0.4541895802576704
4,240,48,0.25151950522725225,1.364842454285518
4,240,49,0.2264595852189364,0.7859315027418999
4,300,0,0.7177697563281813,0.6056341279788762
4,300,1,0.35530639988457424,0.946222737419848
